iter	Logloss
0	0.675029202
1	0.6567347877
2	0.6405520031
3	0.6265360549
4	0.6119278429
5	0.599723259
6	0.5875356985
7	0.5759726855
8	0.5662743555
9	0.5576015045
10	0.5496832253
11	0.5415296195
12	0.5337479072
13	0.5274146993
14	0.5217087418
15	0.5159398081
16	0.5106498168
17	0.50579883
18	0.500971466
19	0.4967750134
20	0.4923902477
21	0.48891572
22	0.4854798378
23	0.4821323494
24	0.478868187
25	0.4760012947
26	0.4734066267
27	0.4708212498
28	0.4685404615
29	0.4659979321
30	0.464085315
31	0.4615602181
32	0.4598686843
33	0.4581082589
34	0.456267056
35	0.4550509148
36	0.453628031
37	0.4522267654
38	0.4504904872
39	0.4488745457
40	0.4472685925
41	0.4462859247
42	0.4453989916
43	0.4441348991
44	0.4431264919
45	0.4422356371
46	0.4412983096
47	0.4405493715
48	0.4397473657
49	0.4390933146
50	0.4383516382
51	0.437451778
52	0.4362828967
53	0.4355139539
54	0.4349390431
55	0.4344844639
56	0.4338858597
57	0.4332834472
58	0.4327387387
59	0.4322218879
60	0.431724328
61	0.4312874659
62	0.4309154318
63	0.43049868
64	0.4300359262
65	0.429432603
66	0.4288585278
67	0.4284069458
68	0.4280863342
69	0.4274826049
70	0.4272041476
71	0.4267465565
72	0.4264489202
73	0.4260961794
74	0.4257239147
75	0.4253889205
76	0.4250506581
77	0.4246959992
78	0.4244298311
79	0.4240398901
80	0.4236354208
81	0.4233828647
82	0.4231327965
83	0.4223959045
84	0.42215896
85	0.4219850023
86	0.4217675008
87	0.4216256691
88	0.4214009574
89	0.4209896978
90	0.4206242062
91	0.4204230671
92	0.420094682
93	0.4198516106
94	0.419634296
95	0.4193711786
96	0.4190049583
97	0.4188106905
98	0.4185293753
99	0.4182706811
100	0.4180016734
101	0.4177627978
102	0.417606706
103	0.4174348842
104	0.4172637942
105	0.4170525995
106	0.4168276239
107	0.4166322791
108	0.4163915267
109	0.4161895815
110	0.4159940669
111	0.4158325665
112	0.4155918069
113	0.4154182075
114	0.4151588846
115	0.4150421062
116	0.4147754156
117	0.4145907434
118	0.4143762824
119	0.4140569289
120	0.4139203998
121	0.4137722824
122	0.4135834685
123	0.4134209921
124	0.4132824194
125	0.413144609
126	0.4129755942
127	0.4127858815
128	0.4126070294
129	0.412459409
130	0.4123556506
131	0.4121821674
132	0.4120687254
133	0.4119088701
134	0.411720179
135	0.4116013826
136	0.4114765068
137	0.4113258086
138	0.4111869341
139	0.4110785876
140	0.410870217
141	0.4106212847
142	0.4104842115
143	0.4103480306
144	0.4100824741
145	0.4099689422
146	0.4098199347
147	0.4097228392
148	0.4095496746
149	0.4093753753
150	0.4091901186
151	0.4090883447
