iter	Passed	Remaining
0	60	60141
1	65	32624
2	70	23431
3	76	18956
4	81	16127
5	85	14236
6	90	12836
7	95	11800
8	99	10968
9	103	10290
10	108	9747
11	113	9346
12	118	9002
13	122	8641
14	127	8346
15	131	8097
16	136	7878
17	140	7663
18	145	7489
19	149	7303
20	153	7172
21	158	7028
22	162	6894
23	166	6789
24	171	6690
25	176	6608
26	181	6526
27	185	6450
28	189	6360
29	194	6285
30	198	6212
31	202	6134
32	206	6064
33	211	6021
34	216	5966
35	220	5914
36	225	5874
37	230	5822
38	234	5775
39	238	5724
40	243	5691
41	248	5666
42	253	5633
43	257	5587
44	261	5549
45	266	5522
46	271	5496
47	276	5476
48	280	5446
49	285	5427
50	289	5394
51	294	5365
52	299	5349
53	303	5324
54	308	5306
55	314	5293
56	318	5270
57	323	5246
58	327	5225
59	332	5210
60	337	5190
61	342	5174
62	347	5161
63	351	5143
64	356	5127
65	360	5107
66	365	5094
67	370	5071
68	375	5060
69	379	5044
70	384	5032
71	389	5014
72	393	4994
73	398	4981
74	402	4965
75	407	4954
76	412	4944
77	417	4938
78	422	4930
79	427	4918
80	433	4913
81	437	4896
82	442	4893
83	448	4892
84	453	4882
85	458	4871
86	463	4868
87	468	4855
88	474	4858
89	479	4852
90	484	4837
91	489	4829
92	494	4825
93	499	4815
94	505	4812
95	510	4803
96	515	4802
97	520	4787
98	525	4782
99	530	4777
100	535	4767
101	540	4762
102	545	4749
103	550	4739
104	555	4735
105	560	4730
106	565	4721
107	570	4715
108	575	4707
109	580	4700
110	586	4694
111	591	4686
112	596	4683
113	601	4674
114	607	4673
115	612	4668
116	617	4661
117	622	4650
118	626	4640
119	631	4631
120	636	4626
121	641	4618
122	647	4613
123	652	4607
124	658	4606
125	663	4600
126	668	4596
127	675	4600
128	681	4598
129	686	4591
130	691	4584
131	696	4579
132	701	4575
133	706	4568
134	714	4575
135	718	4567
136	723	4558
137	728	4553
138	733	4545
139	739	4541
140	745	4539
141	750	4533
142	755	4528
143	760	4522
144	765	4512
145	770	4508
146	775	4500
147	780	4492
148	785	4486
149	790	4482
150	796	4475
151	801	4470
152	806	4466
153	812	4461
154	816	4452
155	822	4448
156	827	4444
157	832	4436
158	837	4431
159	843	4429
160	848	4419
161	853	4415
162	859	4413
163	863	4403
164	869	4400
165	874	4395
166	879	4389
167	884	4381
168	889	4376
169	894	4367
170	899	4362
171	905	4359
172	910	4353
173	915	4345
174	920	4340
175	926	4337
176	930	4328
177	936	4326
178	942	4321
179	946	4312
180	951	4304
181	956	4297
182	961	4291
183	966	4286
184	971	4280
185	977	4277
186	981	4269
187	987	4264
188	992	4257
189	997	4253
