game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822701,yes,single,2026-08-08 23:31:19.997191+00:00,2026-08-08 23:31:41.306578+00:00,timeout,0.71,0.74,3.45,0.7823337918577449,0.7155276337142448,23,3,2026-08-08 23:31:17.023000+00:00,0.007200000000000095,0.09629999999999983
822703,no,walk,2026-07-29 00:08:18.446100+00:00,2026-07-29 00:08:55.623237+00:00,timeout,0.25,0.22000000000000003,9.5,0.7781486911833672,0.7370273172312276,8,4,2026-07-29 00:08:09.665000+00:00,-0.5239999999999996,0.23899999999999966
822705,no,single,2026-07-28 01:33:18.551107+00:00,2026-07-28 01:33:42.566535+00:00,timeout,0.93,0.91,2.67,0.04351962896842433,0.0022500309572602256,74,1,2026-07-28 01:33:08.516000+00:00,-0.08099999999999996,0.02760000000000007
822782,yes,hit_by_pitch,2026-08-01 01:09:33.205087+00:00,2026-08-01 01:09:59.324143+00:00,timeout,0.7,0.7699999999999999,3.49,0.7782235925611845,0.5704194387811204,56,1,2026-08-01 01:09:26.713000+00:00,0.14959999999999996,0.0947
822863,yes,single,2026-08-08 02:34:44.024636+00:00,2026-08-08 02:35:15.508932+00:00,timeout,0.78,0.77,3.15,0.8211443474701957,0.6720032649612893,61,4,2026-08-08 02:34:40.119000+00:00,-0.10850000000000004,0.07699999999999996
822865,yes,single,2026-08-05 02:44:44.664677+00:00,2026-08-05 02:45:19.200964+00:00,timeout,0.95,0.94,2.62,0.967254650945191,0.88727323905746,70,3,2026-08-05 02:44:40.211000+00:00,-0.04539999999999944,0.019199999999999662
822865,yes,single,2026-08-05 02:50:49.632279+00:00,2026-08-05 02:51:15.847540+00:00,timeout,0.6,0.56,4.05,0.675814129324799,0.012345062978081467,72,5,2026-08-05 02:50:41.635000+00:00,-0.2999999999999994,0.1379999999999999
822867,yes,single,2026-08-04 00:58:34.405383+00:00,2026-08-04 00:59:21.451737+00:00,timeout,0.27,0.28,8.8,0.30986442919667334,0.21371819296518432,23,7,2026-08-04 00:58:29.498000+00:00,-0.1577999999999993,0.2457999999999994
822868,no,single,2026-07-27 19:14:49.672422+00:00,2026-07-27 19:15:11.265945+00:00,timeout,0.29,0.32,8.21,0.6631259959000427,0.5619506004644429,21,2,2026-07-27 19:14:46.168000+00:00,0.00280000000000058,0.2434999999999996
822870,yes,triple,2026-07-26 19:17:31.366393+00:00,2026-07-26 19:18:52.166873+00:00,timeout,0.59,0.642433090024331,4.11,0.6528149803448599,0.6469791641002866,18,5,2026-07-26 19:17:24.534000+00:00,0.07970000000000034,0.13579999999999992
822944,yes,single,2026-08-01 21:21:48.132624+00:00,2026-08-01 21:22:13.147697+00:00,timeout,0.74,0.7392749244712989,3.31,0.7886176745782645,0.6583856779693782,36,2,2026-08-01 21:21:45.009000+00:00,-0.09170000000000056,0.08930000000000057
822946,yes,single,2026-07-30 16:54:38.343173+00:00,2026-07-30 16:55:01.187495+00:00,timeout,0.73,0.74,3.36,0.7835099595310314,0.6453154385725253,20,5,2026-07-30 16:54:33.952000+00:00,-0.058100000000000485,0.09170000000000034
