game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822783,no,single,2026-08-02 19:47:28.981007+00:00,,settlement,0.53,,4.56,0.3532455278600744,0.005671722413391533,62,6,2026-08-02 19:47:22.153000+00:00,0.8192999999999995,0.14090000000000025
822865,yes,single,2026-08-05 02:50:59.448928+00:00,2026-08-05 02:55:03.114575+00:00,timeout,0.56,0.68,4.33,0.675814129324799,0.012345062978081467,72,5,2026-08-05 02:50:41.635000+00:00,0.3789000000000007,0.14069999999999938
823193,yes,single,2026-07-29 02:56:28.097998+00:00,2026-07-29 03:00:51.498564+00:00,timeout,0.08,0.08,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-0.3025999999999991,0.3025999999999991
823428,yes,catcher_interf,2026-08-08 03:48:15.287894+00:00,2026-08-08 03:49:29.025672+00:00,reversion,0.23,0.35484966052376327,10.31,0.3440178357699845,0.005226469933405014,78,1,2026-08-08 03:48:08.922000+00:00,0.9939999999999991,0.2932000000000003
823428,yes,single,2026-08-08 03:53:11.947118+00:00,2026-08-08 03:53:18.421401+00:00,reversion,0.21,0.34,11.28,0.32744729214570106,0.004615386132971579,80,5,2026-08-08 03:53:07.152000+00:00,1.1581999999999995,0.3082000000000007
823595,no,single,2026-07-31 02:42:34.695568+00:00,2026-07-31 02:46:35.914260+00:00,timeout,0.08,0.04,29.35,0.7686440750044259,0.9099960436370118,64,4,2026-07-31 02:42:32.027000+00:00,-1.4041999999999994,0.2301999999999993
823837,no,single,2026-07-29 18:11:27.385501+00:00,2026-07-29 18:15:39.799219+00:00,timeout,0.44,0.52,5.46,0.3737067087082392,0.3367686292243269,62,3,2026-07-29 18:11:25.168000+00:00,0.24719999999999986,0.1896
823839,no,single,2026-07-28 01:35:07.912485+00:00,,settlement,0.19,,12.45,0.6328939796504168,0.017654818312708303,79,6,2026-07-28 01:35:01.300000+00:00,-2.4997,0.13419999999999987
824001,yes,hit_by_pitch,2026-07-28 04:37:53.819463+00:00,2026-07-28 04:41:54.668589+00:00,timeout,0.37,0.11,6.47,0.5380959016530903,0.008663596208873248,75,9,2026-07-28 04:37:48.064000+00:00,-1.8321999999999998,0.1499999999999999
824244,no,single,2026-07-25 19:28:04.121341+00:00,2026-07-25 19:30:39.895138+00:00,reversion,0.64,0.81,3.81,0.24641595150649165,0.00520918017792608,69,5,2026-07-25 19:28:02.516000+00:00,0.5451000000000001,0.1025999999999998
824402,yes,field_error,2026-08-06 01:31:59.544140+00:00,,settlement,0.53,,4.56,0.6588622381865823,0.008663596208873248,78,2,2026-08-06 01:31:54.447000+00:00,0.38860000000000006,0.1520999999999999
825049,no,triple,2026-08-09 03:09:24.941864+00:00,2026-08-09 03:13:20.637995+00:00,reversion,0.12,0.39999999999999997,19.62,0.6983930450291261,0.013566989831004883,71,2,2026-08-09 03:09:12.889000+00:00,5.018800000000001,0.47479999999999944
