game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.09271278041720121,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822783,no,single,2026-08-02 19:47:28.981007+00:00,,settlement,0.53,,4.56,0.3532455278600744,0.005671722413391533,62,6,2026-08-02 19:47:22.153000+00:00,0.8192999999999995,0.14090000000000025
822865,yes,single,2026-08-05 02:50:59.448928+00:00,2026-08-05 02:55:03.114575+00:00,timeout,0.56,0.68,4.33,0.675814129324799,0.012345062978081467,72,5,2026-08-05 02:50:41.635000+00:00,0.3789000000000007,0.14069999999999938
823193,yes,single,2026-07-29 02:56:28.097998+00:00,2026-07-29 03:00:51.498564+00:00,timeout,0.08,0.08,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-0.3025999999999991,0.3025999999999991
823200,yes,single,2026-07-11 05:41:26.525363+00:00,2026-07-11 05:45:06.115012+00:00,reversion,0.17,0.31999999999999995,13.89,0.31727732377385465,0.004951654630059407,81,5,2026-07-11 05:41:10.250000+00:00,1.7347000000000001,0.34879999999999933
823428,yes,catcher_interf,2026-08-08 03:48:15.287894+00:00,2026-08-08 03:49:29.025672+00:00,reversion,0.23,0.35484966052376327,10.31,0.3440178357699845,0.005226469933405014,78,1,2026-08-08 03:48:08.922000+00:00,0.9939999999999991,0.2932000000000003
823428,yes,single,2026-08-08 03:53:11.947118+00:00,2026-08-08 03:53:18.421401+00:00,reversion,0.21,0.34,11.28,0.32744729214570106,0.004615386132971579,80,5,2026-08-08 03:53:07.152000+00:00,1.1581999999999995,0.3082000000000007
823525,yes,single,2026-07-05 19:08:36.860682+00:00,2026-07-05 19:10:31.527384+00:00,reversion,0.11,0.11,21.39,0.1092317725730359,0.04771409141943639,37,3,2026-07-05 19:08:23.869000+00:00,-0.2932999999999999,0.2932999999999999
823595,no,single,2026-07-31 02:42:34.695568+00:00,2026-07-31 02:46:35.914260+00:00,timeout,0.08,0.04,29.35,0.7686440750044259,0.9099960436370118,64,4,2026-07-31 02:42:32.027000+00:00,-1.4041999999999994,0.2301999999999993
823837,no,single,2026-07-29 18:11:27.385501+00:00,2026-07-29 18:15:39.799219+00:00,timeout,0.44,0.52,5.46,0.3737067087082392,0.3367686292243269,62,3,2026-07-29 18:11:25.168000+00:00,0.24719999999999986,0.1896
823839,no,single,2026-07-28 01:35:07.912485+00:00,,settlement,0.19,,12.45,0.6328939796504168,0.017654818312708303,79,6,2026-07-28 01:35:01.300000+00:00,-2.4997,0.13419999999999987
824001,yes,hit_by_pitch,2026-07-28 04:37:53.819463+00:00,2026-07-28 04:41:54.668589+00:00,timeout,0.37,0.11,6.47,0.5380959016530903,0.008663596208873248,75,9,2026-07-28 04:37:48.064000+00:00,-1.8321999999999998,0.1499999999999999
824087,no,single,2026-07-21 00:42:47.547356+00:00,2026-07-21 00:43:24.435789+00:00,reversion,0.2,0.20999999999999996,11.83,0.6955624749483925,0.6396333417625536,33,3,2026-07-21 00:42:42.960000+00:00,-0.15160000000000062,0.26990000000000025
824244,no,single,2026-07-25 19:28:04.121341+00:00,2026-07-25 19:30:39.895138+00:00,reversion,0.64,0.81,3.81,0.24641595150649165,0.00520918017792608,69,5,2026-07-25 19:28:02.516000+00:00,0.5451000000000001,0.1025999999999998
824249,yes,hit_by_pitch,2026-07-12 00:17:27.072811+00:00,2026-07-12 00:17:55.798066+00:00,reversion,0.19,0.29,12.45,0.2896139471971697,0.15864729511283404,61,1,2026-07-12 00:17:23.712000+00:00,0.9312999999999994,0.3137000000000003
824402,yes,field_error,2026-08-06 01:31:59.544140+00:00,,settlement,0.53,,4.56,0.6588622381865823,0.008663596208873248,78,2,2026-08-06 01:31:54.447000+00:00,0.38860000000000006,0.1520999999999999
824742,no,single,2026-07-01 01:15:05.590740+00:00,2026-07-01 01:16:40.592712+00:00,reversion,0.65,0.78,3.75,0.23708692490191166,0.11625966531599297,47,1,2026-07-01 01:14:56.097000+00:00,0.3826000000000005,0.10489999999999977
824820,yes,single,2026-07-08 01:44:46.770452+00:00,2026-07-08 01:47:18.504096+00:00,reversion,0.15,0.13,15.73,0.2514787506980167,0.12123364781267913,60,4,2026-07-08 01:44:43.080000+00:00,-0.5795999999999997,0.2649999999999997
824822,no,single,2026-06-30 01:01:26.605616+00:00,2026-06-30 01:02:07.611498+00:00,reversion,0.7,0.84,3.49,0.16964082546585932,0.04768367345402902,61,4,2026-06-30 01:01:23.254000+00:00,0.40429999999999966,0.08430000000000026
824902,no,single,2026-07-05 21:17:49.095086+00:00,,settlement,0.72,,3.4,0.16313466544269709,0.0030507652621245243,82,2,2026-07-05 21:17:44.201000+00:00,0.9039999999999999,0.04800000000000004
825049,no,triple,2026-08-09 03:09:24.941864+00:00,2026-08-09 03:13:20.637995+00:00,reversion,0.12,0.39999999999999997,19.62,0.6983930450291261,0.013566989831004883,71,2,2026-08-09 03:09:12.889000+00:00,5.018800000000001,0.47479999999999944
825058,no,single,2026-07-21 04:00:10.573054+00:00,2026-07-21 04:03:31.338790+00:00,reversion,0.39,0.59,6.14,0.4808685210995066,0.28711250662703813,57,4,2026-07-21 04:00:05.352000+00:00,1.0216999999999996,0.20630000000000015
