game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822701,yes,single,2026-08-08 23:31:19.997191+00:00,2026-08-08 23:35:31.578794+00:00,timeout,0.71,0.7,3.45,0.7823337918577449,0.7155276337142448,23,3,2026-08-08 23:31:17.023000+00:00,-0.1351,0.10060000000000002
822702,no,double,2026-07-29 18:35:16.828429+00:00,2026-07-29 18:35:53.558900+00:00,reversion,0.52,0.51,4.65,0.41660990312653895,0.33723687371852507,45,3,2026-07-29 18:35:14.340000+00:00,-0.2091999999999996,0.16269999999999962
822702,yes,double,2026-07-29 19:34:55.131910+00:00,2026-07-29 19:39:03.388243+00:00,timeout,0.06,0.02,39.09,0.08907957972656663,0.019420994294897298,66,5,2026-07-29 19:34:51.062000+00:00,-1.7716999999999998,0.2080999999999999
822702,no,field_error,2026-07-29 18:41:58.358004+00:00,,settlement,0.53,,4.56,0.41576919174307136,0.2655574356670113,47,6,2026-07-29 18:41:56.603000+00:00,0.07499999999999904,0.15720000000000045
822703,no,walk,2026-07-29 00:08:15.464004+00:00,2026-07-29 00:09:15.402122+00:00,reversion,0.25,0.21999999999999997,9.5,0.7781486911833672,0.7370273172312276,8,4,2026-07-29 00:08:09.665000+00:00,-0.5239000000000003,0.2389000000000001
822782,yes,hit_by_pitch,2026-08-01 01:09:33.205087+00:00,2026-08-01 01:12:19.381594+00:00,reversion,0.7,0.55,3.49,0.7782235925611845,0.5704194387811204,56,1,2026-08-01 01:09:26.713000+00:00,-0.6353999999999997,0.11189999999999989
822865,no,double,2026-08-05 02:56:22.806956+00:00,2026-08-05 02:57:39.006352+00:00,reversion,0.18,0.21619192688499625,13.13,0.7851800243318134,0.014291777064517428,75,1,2026-08-05 02:56:15.796000+00:00,0.18370000000000053,0.29149999999999976
822867,yes,single,2026-08-04 00:58:34.405383+00:00,2026-08-04 01:02:34.513312+00:00,timeout,0.27,0.28229545454545457,8.8,0.30986442919667334,0.21371819296518432,23,7,2026-08-04 00:58:29.498000+00:00,-0.13829999999999962,0.24649999999999964
822868,no,single,2026-07-27 19:14:49.672422+00:00,2026-07-27 19:16:23.820875+00:00,reversion,0.29,0.36000000000000004,8.21,0.6631259959000427,0.5619506004644429,21,2,2026-07-27 19:14:46.168000+00:00,0.32369999999999965,0.25100000000000017
822869,yes,double,2026-07-25 23:30:05.315717+00:00,2026-07-25 23:34:29.578630+00:00,timeout,0.8,0.83,3.08,0.8353607368283906,0.8200255382259002,8,3,2026-07-25 23:30:02.644000+00:00,0.02740000000000009,0.06499999999999961
