game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822700,no,hit_by_pitch,2026-08-09 16:35:11.545202+00:00,2026-08-09 16:36:34.029653+00:00,reversion,0.54,0.57,4.48,0.4108601425763007,0.274715799932125,9,7,2026-08-09 16:34:55.390000+00:00,-0.020400000000000418,0.15479999999999983
822700,yes,single,2026-08-09 16:47:20.598944+00:00,2026-08-09 16:48:51.140022+00:00,reversion,0.6,0.64,4.05,0.6612104337036534,0.5808324787052334,16,1,2026-08-09 16:47:16.937000+00:00,0.028500000000000192,0.13350000000000017
822701,yes,single,2026-08-08 23:31:19.997191+00:00,2026-08-08 23:35:25.649288+00:00,timeout,0.71,0.71,3.45,0.7823337918577449,0.7155276337142448,23,3,2026-08-08 23:31:17.023000+00:00,-0.09959999999999969,0.09959999999999969
822701,yes,single,2026-08-09 00:17:19.566966+00:00,2026-08-09 00:19:04.882098+00:00,reversion,0.78,0.76,3.15,0.8268705804326548,0.6925000268069422,45,2,2026-08-09 00:17:17.876000+00:00,-0.14119999999999955,0.07819999999999983
822701,no,walk,2026-08-09 00:56:10.678228+00:00,2026-08-09 00:58:05.788657+00:00,reversion,0.01,0.02,233.79,0.9751439904218663,0.96540617864978,62,5,2026-08-09 00:56:04.168000+00:00,1.8549999999999995,0.48290000000000033
822702,no,double,2026-07-29 18:35:16.007653+00:00,2026-07-29 18:35:53.558900+00:00,reversion,0.52,0.51,4.65,0.41660990312653895,0.33723687371852507,45,3,2026-07-29 18:35:14.340000+00:00,-0.2091999999999996,0.16269999999999962
822702,yes,double,2026-07-29 19:34:53.993317+00:00,2026-07-29 19:38:56.112061+00:00,timeout,0.06,0.03,39.09,0.08907957972656663,0.019420994294897298,66,5,2026-07-29 19:34:51.062000+00:00,-1.4067999999999998,0.23409999999999986
822702,no,field_error,2026-07-29 18:41:58.046415+00:00,,settlement,0.53,,4.56,0.41576919174307136,0.2655574356670113,47,6,2026-07-29 18:41:56.603000+00:00,0.3006999999999995,0.1540000000000002
822703,no,walk,2026-07-29 00:08:15.464004+00:00,2026-07-29 00:09:12.894403+00:00,reversion,0.25,0.23,9.5,0.7781486911833672,0.7370273172312276,8,4,2026-07-29 00:08:09.665000+00:00,-0.43249999999999966,0.24249999999999972
822703,yes,walk,2026-07-29 00:10:56.267053+00:00,2026-07-29 00:14:56.546108+00:00,timeout,0.81,0.85,3.04,0.8497864491594608,0.8207377705746097,9,6,2026-07-29 00:10:52.082000+00:00,0.06159999999999988,0.06000000000000005
822705,no,single,2026-07-27 23:59:50.846916+00:00,2026-07-28 00:00:34.657636+00:00,reversion,0.69,0.74,3.54,0.2692156329690045,0.17801282597473989,34,5,2026-07-27 23:59:39.169000+00:00,0.07620000000000049,0.1008
822705,no,walk,2026-07-28 01:34:53.444591+00:00,2026-07-28 01:35:46.819736+00:00,reversion,0.84,0.8800000000000001,2.94,0.1261807838841484,0.0031686837801961896,75,5,2026-07-28 01:34:50.945000+00:00,0.06810000000000027,0.0495000000000001
822706,yes,double,2026-07-26 19:47:55.352177+00:00,2026-07-26 19:49:30.150364+00:00,reversion,0.92,0.96,2.7,0.9450813488262196,0.9037710601828691,63,2,2026-07-26 19:47:53.587000+00:00,0.0867,0.021299999999999653
822706,yes,single,2026-07-26 19:54:29.150040+00:00,2026-07-26 19:55:10.639637+00:00,reversion,0.96,0.98,2.59,0.9756576221796833,0.9561220922010971,66,6,2026-07-26 19:54:26.070000+00:00,0.0411999999999999,0.010600000000000165
822706,yes,walk,2026-07-26 20:20:16.877459+00:00,2026-07-26 20:24:17.220987+00:00,timeout,0.97,0.9499999999999998,2.57,0.9842556699715089,0.9296819537654095,79,4,2026-07-26 20:20:08.801000+00:00,-0.06530000000000102,0.013900000000000912
822706,yes,walk,2026-07-26 20:32:10.884028+00:00,2026-07-26 20:33:58.741218+00:00,reversion,0.93,0.9699999999999999,2.67,0.9511688466453484,0.8965574008393301,84,4,2026-07-26 20:32:04.685000+00:00,0.08909999999999929,0.017700000000000493
822781,yes,single,2026-08-01 19:57:39.348987+00:00,2026-08-01 20:01:40.994183+00:00,timeout,0.73,0.7700000000000001,3.36,0.7794966621446183,0.6695473319217274,26,4,2026-08-01 19:57:36.022000+00:00,0.04630000000000045,0.08809999999999985
822781,yes,double,2026-08-01 20:17:33.964742+00:00,2026-08-01 20:19:46.416326+00:00,reversion,0.83,0.84,2.97,0.8683717649311815,0.8038421478603971,35,5,2026-08-01 20:17:26.007000+00:00,-0.027699999999999836,0.057399999999999896
822781,yes,double,2026-08-01 21:18:19.315385+00:00,2026-08-01 21:20:58.130909+00:00,reversion,0.92,0.96,2.7,0.9522309729722929,0.918258099923561,62,3,2026-08-01 21:18:15.894000+00:00,0.0865999999999999,0.021399999999999864
822782,no,double,2026-07-31 23:57:07.135375+00:00,2026-07-31 23:59:40.137431+00:00,reversion,0.44,0.38000000000000006,5.46,0.5103888539571843,0.3759049844451604,23,3,2026-07-31 23:57:02.123000+00:00,-0.5118999999999994,0.18429999999999946
822782,yes,hit_by_pitch,2026-08-01 01:09:29.721417+00:00,2026-08-01 01:09:53.843266+00:00,reversion,0.7,0.78,3.49,0.7782235925611845,0.5704194387811204,56,1,2026-08-01 01:09:26.713000+00:00,0.1858000000000004,0.09339999999999993
822782,no,single,2026-08-01 01:40:11.542361+00:00,2026-08-01 01:41:08.909518+00:00,reversion,0.03,0.05,78.03,0.9524245640465685,0.88727323905746,68,4,2026-08-01 01:40:08.415000+00:00,1.1421000000000014,0.418499999999999
822783,yes,single,2026-08-02 19:47:25.438110+00:00,2026-08-02 19:47:27.715854+00:00,reversion,0.24,0.48999999999999994,9.89,0.3532455278600744,0.005671722413391533,62,6,2026-08-02 19:47:22.153000+00:00,2.1731000000000003,0.29939999999999944
822783,yes,single,2026-08-02 20:04:58.074045+00:00,2026-08-02 20:05:11.432261+00:00,reversion,0.02,0.03,116.97,0.03725765667426958,0.0009235151401618139,69,1,2026-08-02 20:04:54.436000+00:00,0.7708999999999997,0.39880000000000004
822862,no,double,2026-08-09 18:46:47.689388+00:00,,settlement,0.62,,3.92,0.33446971993100244,0.23870071491873301,6,2,2026-08-09 18:46:31.735000+00:00,0.07400000000000082,0.12529999999999936
822863,yes,single,2026-08-08 02:34:42.160202+00:00,2026-08-08 02:37:29.025118+00:00,reversion,0.66,0.81,3.69,0.8211443474701957,0.6720032649612893,61,4,2026-08-08 02:34:40.119000+00:00,0.4557000000000002,0.09779999999999989
822864,yes,single,2026-08-08 23:51:29.768223+00:00,2026-08-08 23:53:09.486125+00:00,reversion,0.65,0.7900000000000001,3.75,0.7357170388060721,0.6545837678791203,15,6,2026-08-08 23:51:22.316000+00:00,0.42160000000000064,0.10339999999999971
822865,yes,single,2026-08-05 02:29:44.492456+00:00,2026-08-05 02:29:45.888655+00:00,reversion,0.75,0.8,3.27,0.7974527315712675,0.523345721091756,62,4,2026-08-05 02:29:42.324000+00:00,0.08380000000000054,0.07969999999999944
822865,yes,single,2026-08-05 02:30:50.890261+00:00,2026-08-05 02:30:57.334538+00:00,reversion,0.82,0.8800000000000001,3.01,0.8678897019034422,0.6491124275069624,63,2,2026-08-05 02:30:48.984000+00:00,0.1272000000000002,0.053400000000000336
