game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.09271278041720121,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822783,no,single,2026-08-02 19:47:28.981007+00:00,,settlement,0.53,,4.56,0.3532455278600744,0.005671722413391533,62,6,2026-08-02 19:47:22.153000+00:00,0.8192999999999995,0.14090000000000025
822950,yes,single,2026-07-26 17:15:29.159802+00:00,2026-07-26 17:19:38.379442+00:00,timeout,0.69,0.73,3.54,0.7864870476619672,0.6897198651829489,34,1,2026-07-26 17:15:14.444000+00:00,0.03960000000000008,0.10200000000000031
823023,yes,single,2026-07-30 18:46:38.778855+00:00,2026-07-30 18:48:56.585827+00:00,reversion,0.64,0.7,3.81,0.7228223623090126,0.7097643801586718,14,3,2026-07-30 18:46:31.138000+00:00,0.11099999999999977,0.11759999999999993
823036,no,single,2026-07-07 01:52:18.265777+00:00,2026-07-07 01:52:23.572208+00:00,reversion,0.69,0.78,3.54,0.2242337776963125,0.10229520276158799,56,1,2026-07-07 01:52:05.502000+00:00,0.22290000000000054,0.0956999999999999
823119,yes,walk,2026-07-03 03:21:13.610940+00:00,2026-07-03 03:25:19.121083+00:00,timeout,0.8,0.7699999999999999,3.08,0.8748414798331977,0.7570304308437753,43,9,2026-07-03 03:20:58.886000+00:00,-0.16509999999999958,0.07269999999999954
823122,yes,single,2026-07-01 03:19:59.863058+00:00,2026-07-01 03:20:29.105876+00:00,reversion,0.8,0.85,3.08,0.8855396294051482,0.8121465324976739,44,4,2026-07-01 03:19:49.298000+00:00,0.09199999999999964,0.06199999999999983
823122,no,single,2026-07-01 03:57:33.998337+00:00,,settlement,0.21,,11.28,0.7111464884893236,0.7374682639955306,56,4,2026-07-01 03:57:29.114000+00:00,-1.4439,0.20210000000000014
823193,yes,single,2026-07-29 02:56:28.097998+00:00,2026-07-29 03:00:51.498564+00:00,timeout,0.08,0.08,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-0.3025999999999991,0.3025999999999991
823200,yes,single,2026-07-11 05:41:16.442684+00:00,2026-07-11 05:45:06.115012+00:00,reversion,0.22,0.32,10.77,0.31727732377385465,0.004951654630059407,81,5,2026-07-11 05:41:10.250000+00:00,0.7835000000000001,0.2935000000000003
823200,no,walk,2026-07-11 05:50:24.674714+00:00,2026-07-11 05:53:04.874901+00:00,reversion,0.67,0.98,3.64,0.2335269120561246,0.004667963614389411,83,7,2026-07-11 05:50:22.164000+00:00,1.0670000000000002,0.0613999999999999
823204,yes,single,2026-06-28 21:26:50.019274+00:00,2026-06-28 21:28:46.513224+00:00,reversion,0.73,0.82,3.36,0.8160104539909468,0.7813515389346732,43,2,2026-06-28 21:26:34.177000+00:00,0.22119999999999962,0.08120000000000038
823275,yes,field_error,2026-07-29 04:05:53.940673+00:00,2026-07-29 04:09:56.508755+00:00,timeout,0.69,0.66,3.54,0.7799822178271495,0.4785837018611233,64,2,2026-07-29 04:05:39.115000+00:00,-0.2149999999999994,0.10880000000000001
823425,no,single,2026-08-09 20:05:30.145826+00:00,2026-08-09 20:09:33.159791+00:00,timeout,0.56,0.33,4.33,0.34760719079490937,0.007699562942167004,74,1,2026-08-09 20:05:26.342000+00:00,-1.1376999999999997,0.14179999999999948
823428,yes,catcher_interf,2026-08-08 03:48:15.287894+00:00,2026-08-08 03:49:29.025672+00:00,reversion,0.23,0.35484966052376327,10.31,0.3440178357699845,0.005226469933405014,78,1,2026-08-08 03:48:08.922000+00:00,0.9939999999999991,0.2932000000000003
823428,yes,single,2026-08-08 03:53:11.947118+00:00,2026-08-08 03:53:18.421401+00:00,reversion,0.21,0.34,11.28,0.32744729214570106,0.004615386132971579,80,5,2026-08-08 03:53:07.152000+00:00,1.1581999999999995,0.3082000000000007
