game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822708,no,single,2026-07-12 18:53:20.784600+00:00,2026-07-12 18:54:33.712279+00:00,reversion,0.58,0.62,4.18,0.3387942574813601,0.27181369700255875,33,3,2026-07-12 18:53:16.707000+00:00,0.02689999999999948,0.1403000000000003
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.09271278041720121,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822876,no,single,2026-07-12 21:35:17.890804+00:00,,settlement,0.1,,23.51,0.8421848718177479,0.02345889440036376,78,5,2026-07-12 21:35:11.310000+00:00,-1.1835999999999995,0.23259999999999947
823036,no,single,2026-07-07 01:52:18.265777+00:00,2026-07-07 01:52:21.823188+00:00,reversion,0.69,0.74,3.54,0.2242337776963125,0.10229520276158799,56,1,2026-07-07 01:52:05.502000+00:00,0.07620000000000049,0.1008
823119,yes,walk,2026-07-03 03:21:04.546175+00:00,2026-07-03 03:21:53.280221+00:00,reversion,0.8,0.8400000000000001,3.08,0.8748414798331977,0.7570304308437753,43,9,2026-07-03 03:20:58.886000+00:00,0.05970000000000031,0.06349999999999945
823122,yes,single,2026-07-01 03:19:59.863058+00:00,2026-07-01 03:20:17.150327+00:00,reversion,0.8,0.85,3.08,0.8855396294051482,0.8121465324976739,44,4,2026-07-01 03:19:49.298000+00:00,0.09199999999999964,0.06199999999999983
823122,no,single,2026-07-01 03:57:32.412084+00:00,2026-07-01 04:01:33.783784+00:00,timeout,0.22,0.1,10.77,0.7111464884893236,0.7374682639955306,56,4,2026-07-01 03:57:29.114000+00:00,-1.4897000000000002,0.19730000000000047
823200,yes,single,2026-07-11 05:41:16.442684+00:00,2026-07-11 05:45:01.078647+00:00,reversion,0.22,0.27,10.77,0.31727732377385465,0.004951654630059407,81,5,2026-07-11 05:41:10.250000+00:00,0.26049999999999995,0.27800000000000047
823200,no,walk,2026-07-11 05:50:24.674714+00:00,2026-07-11 05:53:03.570739+00:00,reversion,0.67,0.9499999999999998,3.64,0.2335269120561246,0.004667963614389411,83,7,2026-07-11 05:50:22.164000+00:00,0.9505999999999992,0.06860000000000044
823204,yes,single,2026-06-28 21:26:47.705396+00:00,2026-06-28 21:27:11.902881+00:00,reversion,0.73,0.8,3.36,0.8160104539909468,0.7813515389346732,43,2,2026-06-28 21:26:34.177000+00:00,0.15110000000000046,0.08409999999999984
823446,yes,fielders_choice,2026-07-01 23:18:53.038528+00:00,2026-07-01 23:18:56.602343+00:00,reversion,0.81,0.8667105263157894,3.04,0.8883482808218892,0.8179276440497416,17,2,2026-07-01 23:18:38.296000+00:00,0.11489999999999978,0.057499999999999996
823525,yes,single,2026-07-05 19:08:36.860682+00:00,2026-07-05 19:10:31.527384+00:00,reversion,0.11,0.11,21.39,0.1092317725730359,0.04771409141943639,37,3,2026-07-05 19:08:23.869000+00:00,-0.2932999999999999,0.2932999999999999
823605,no,single,2026-07-09 00:45:16.801974+00:00,2026-07-09 00:49:26.822868+00:00,timeout,0.39,0.3499999999999999,6.14,0.5266074125246928,0.4211040140112893,43,9,2026-07-09 00:45:10.385000+00:00,-0.4457000000000009,0.2001000000000004
823687,yes,single,2026-07-08 00:07:14.075487+00:00,2026-07-08 00:07:31.143102+00:00,reversion,0.56,0.61,4.33,0.6352055302649914,0.6272619753207859,15,4,2026-07-08 00:07:06.579000+00:00,0.06960000000000077,0.14689999999999914
823764,yes,walk,2026-07-19 19:52:20.570940+00:00,2026-07-19 19:53:02.779298+00:00,reversion,0.44,0.507032967032967,5.46,0.5194611116774311,0.32410024105859103,42,6,2026-07-19 19:52:13.298000+00:00,0.17620000000000013,0.18979999999999975
823925,no,single,2026-07-12 22:07:15.464399+00:00,2026-07-12 22:07:20.293419+00:00,reversion,0.51,0.58,4.73,0.4082515882330344,0.2642867985584718,45,4,2026-07-12 22:07:08.505000+00:00,0.16759999999999975,0.16349999999999998
823926,yes,single,2026-07-12 02:57:11.660629+00:00,2026-07-12 03:01:03.479502+00:00,reversion,0.1,0.2,23.51,0.16213292693154824,0.0684690787231855,48,7,2026-07-12 02:57:04.640000+00:00,1.9394000000000016,0.4115999999999987
824006,no,single,2026-07-21 04:31:44.629567+00:00,2026-07-21 04:33:40.607388+00:00,reversion,0.81,0.84,3.04,0.15726390781008123,0.0021286179374915694,62,4,2026-07-21 04:31:36.016000+00:00,0.029699999999999838,0.0615
824083,no,hit_by_pitch,2026-07-22 19:13:11.178490+00:00,2026-07-22 19:13:30.605860+00:00,reversion,0.6,0.68,4.05,0.3085435779887147,0.19351784497421054,33,2,2026-07-22 19:13:00.457000+00:00,0.19419999999999993,0.12980000000000036
824087,no,single,2026-07-21 00:42:47.547356+00:00,2026-07-21 00:43:24.435789+00:00,reversion,0.2,0.20999999999999996,11.83,0.6955624749483925,0.6396333417625536,33,3,2026-07-21 00:42:42.960000+00:00,-0.15160000000000062,0.26990000000000025
824090,yes,fielders_choice,2026-07-18 01:53:18.398876+00:00,2026-07-18 01:53:20.638571+00:00,reversion,0.59,0.7,4.11,0.690386794035247,0.5875080681941008,47,3,2026-07-18 01:53:13.891000+00:00,0.3220000000000005,0.13009999999999966
824249,yes,hit_by_pitch,2026-07-12 00:17:27.072811+00:00,2026-07-12 00:17:49.111865+00:00,reversion,0.19,0.28,12.45,0.2896139471971697,0.15864729511283404,61,1,2026-07-12 00:17:23.712000+00:00,0.8106000000000004,0.30989999999999984
824252,yes,single,2026-07-11 00:24:14.134228+00:00,2026-07-11 00:24:22.604569+00:00,reversion,0.74,0.79,3.31,0.8223304290246004,0.7826443869157156,48,3,2026-07-11 00:24:11.669000+00:00,0.0823999999999998,0.0831000000000004
824329,yes,hit_by_pitch,2026-07-22 01:14:36.780969+00:00,,settlement,0.41,,5.85,0.4917592709568827,0.3297063857562427,15,1,2026-07-22 01:14:18.603000+00:00,0.6820000000000008,0.19989999999999952
824336,yes,single,2026-07-04 00:57:43.665273+00:00,2026-07-04 01:01:41.719896+00:00,reversion,0.84,0.9,2.94,0.8602130413178825,0.888188836059109,24,1,2026-07-04 00:57:29.998000+00:00,0.13009999999999966,0.04630000000000045
824406,yes,single,2026-07-23 19:07:26.015882+00:00,2026-07-23 19:07:27.520546+00:00,reversion,0.43,0.48,5.59,0.5114901155456071,0.18854136610027994,52,1,2026-07-23 19:07:20.007000+00:00,0.08579999999999988,0.1937000000000002
824416,yes,single,2026-07-02 22:50:14.820651+00:00,2026-07-02 22:50:25.972286+00:00,reversion,0.59,0.6600000000000001,4.11,0.6887418228890911,0.647734486110141,5,2,2026-07-02 22:50:08.504000+00:00,0.15350000000000041,0.13419999999999987
824422,no,single,2026-06-28 20:39:21.397469+00:00,2026-06-28 20:43:24.105909+00:00,timeout,0.42,0.08,5.72,0.4885098844543929,0.3564110973744712,79,3,2026-06-28 20:39:15.358000+00:00,-2.0719,0.12710000000000032
824496,yes,triple,2026-07-09 00:32:52.687610+00:00,2026-07-09 00:32:58.218064+00:00,reversion,0.67,0.72,3.64,0.7501316305409468,0.7129742706855411,35,5,2026-07-09 00:32:37.685000+00:00,0.07419999999999982,0.10780000000000012
824738,yes,field_error,2026-07-18 23:14:52.346674+00:00,2026-07-18 23:14:55.967731+00:00,reversion,0.19,0.27,12.45,0.2683998825676093,0.15409309778963412,56,3,2026-07-18 23:14:39.399000+00:00,0.69,0.30600000000000005
824742,no,single,2026-07-01 01:14:59.140832+00:00,2026-07-01 01:15:20.271181+00:00,reversion,0.63,0.75,3.86,0.23708692490191166,0.11625966531599297,47,1,2026-07-01 01:14:56.097000+00:00,0.3494999999999999,0.11370000000000013
824744,no,fielders_choice,2026-06-29 01:51:59.598137+00:00,2026-06-29 01:52:08.014651+00:00,reversion,0.33,0.47,7.23,0.49865564702553467,0.014711352440640146,60,3,2026-06-29 01:51:55.324000+00:00,0.7742,0.23799999999999955
824818,yes,single,2026-07-01 18:03:51.449195+00:00,2026-07-01 18:04:38.109203+00:00,reversion,0.8,0.83,3.08,0.8698216926038077,0.7990068168189239,38,2,2026-07-01 18:03:48.038000+00:00,0.02740000000000009,0.0649999999999995
824820,yes,single,2026-07-08 01:44:46.770452+00:00,2026-07-08 01:44:59.672916+00:00,reversion,0.15,0.24,15.73,0.2514787506980167,0.12123364781267913,60,4,2026-07-08 01:44:43.080000+00:00,1.0743,0.3413999999999997
824822,no,single,2026-06-30 01:01:26.605616+00:00,2026-06-30 01:01:39.110549+00:00,reversion,0.7,0.78,3.49,0.16964082546585932,0.04768367345402902,61,4,2026-06-30 01:01:23.254000+00:00,0.1858000000000004,0.09339999999999993
824895,yes,triple,2026-07-21 23:50:42.413730+00:00,2026-07-21 23:51:20.310862+00:00,reversion,0.65,0.7,3.75,0.7310585786300049,0.6443987391678575,19,1,2026-07-21 23:50:38.579000+00:00,0.07249999999999979,0.11500000000000021
824897,yes,fielders_choice,2026-07-19 19:49:03.436574+00:00,2026-07-19 19:51:15.072106+00:00,reversion,0.84,0.93,2.94,0.9009512161195298,0.786186751771915,65,2,2026-07-19 19:48:45.468000+00:00,0.22350000000000003,0.041100000000000136
824902,yes,hit_by_pitch,2026-07-05 18:28:45.401014+00:00,2026-07-05 18:30:33.656540+00:00,reversion,0.44,0.5363736263736264,5.46,0.5168666878427894,0.4080748273128715,7,3,2026-07-05 18:28:37.897000+00:00,0.3370000000000008,0.18919999999999965
824902,yes,single,2026-07-05 18:33:40.204587+00:00,2026-07-05 18:35:21.465842+00:00,reversion,0.66,0.72,3.69,0.7348164304944237,0.6507686081760807,10,2,2026-07-05 18:33:23.734000+00:00,0.1113000000000004,0.11009999999999964
824902,no,single,2026-07-05 21:17:49.095086+00:00,2026-07-05 21:17:54.990697+00:00,reversion,0.72,0.8,3.4,0.16313466544269709,0.0030507652621245243,82,2,2026-07-05 21:17:44.201000+00:00,0.18590000000000018,0.08610000000000007
825058,no,single,2026-07-21 04:00:10.573054+00:00,2026-07-21 04:01:29.402477+00:00,reversion,0.39,0.45999999999999996,6.14,0.4808685210995066,0.28711250662703813,57,4,2026-07-21 04:00:05.352000+00:00,0.22069999999999945,0.20910000000000029
