game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822783,no,single,2026-08-02 19:47:28.981007+00:00,,settlement,0.53,,4.56,0.3532455278600744,0.005671722413391533,62,6,2026-08-02 19:47:22.153000+00:00,0.38356569647332317,0.15236715176333826
822950,yes,single,2026-07-26 17:15:29.159802+00:00,2026-07-26 17:31:13.575547+00:00,reversion,0.69,0.7864870476619672,3.54,0.7864870476619672,0.6897198651829489,34,1,2026-07-26 17:15:14.444000+00:00,0.24682829744672796,0.09473585127663631
823023,yes,single,2026-07-30 18:46:38.778855+00:00,,settlement,0.64,,3.81,0.7228223623090126,0.7097643801586718,14,3,2026-07-30 18:46:31.138000+00:00,-2.4999,0.061499999999999666
823193,yes,single,2026-07-29 02:56:28.097998+00:00,,settlement,0.08,,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-2.4993,0.15129999999999955
823275,yes,field_error,2026-07-29 04:05:53.940673+00:00,2026-07-29 04:55:37.749172+00:00,reversion,0.69,0.7799822178271494,3.54,0.7799822178271495,0.4785837018611233,64,2,2026-07-29 04:05:39.115000+00:00,0.22287410221621817,0.0956629488918912
823425,no,single,2026-08-09 20:05:30.145826+00:00,2026-08-09 20:46:43.253558+00:00,reversion,0.56,0.6523928092050906,4.33,0.34760719079490937,0.007699562942167004,74,1,2026-08-09 20:05:26.342000+00:00,0.25662172771608427,0.14343913614195758
823428,yes,catcher_interf,2026-08-08 03:48:15.287894+00:00,2026-08-08 03:49:27.627880+00:00,reversion,0.23,0.3440178357699846,10.31,0.3440178357699845,0.005226469933405014,78,1,2026-08-08 03:48:08.922000+00:00,0.8847477735770828,0.2907761132114586
823428,yes,single,2026-08-08 03:53:11.947118+00:00,,settlement,0.21,,11.28,0.32744729214570106,0.004615386132971579,80,5,2026-08-08 03:53:07.152000+00:00,1.0166619649641007,0.3048690175179498
823434,yes,hit_by_pitch,2026-07-25 00:51:47.980081+00:00,2026-07-25 00:54:53.659757+00:00,reversion,0.28,0.37326763441337557,8.5,0.3732676344133756,0.19427195850818813,56,1,2026-07-25 00:51:44.375000+00:00,0.5335497850273847,0.2592251074863072
823514,yes,triple,2026-08-08 20:28:30.921471+00:00,2026-08-08 20:29:36.406624+00:00,reversion,0.57,0.6603229280578892,4.25,0.6603229280578892,0.49538250844435006,37,8,2026-08-08 20:28:23.326000+00:00,0.24404488849205785,0.1398275557539712
823595,no,single,2026-07-31 02:42:34.695568+00:00,,settlement,0.08,,29.35,0.7686440750044259,0.9099960436370118,64,4,2026-07-31 02:42:32.027000+00:00,-2.4993,0.15129999999999955
823837,no,single,2026-07-29 18:11:27.385501+00:00,,settlement,0.44,,5.46,0.3737067087082392,0.3367686292243269,62,3,2026-07-29 18:11:25.168000+00:00,-2.4966,0.09419999999999984
823839,no,single,2026-07-28 00:30:01.656084+00:00,2026-07-28 00:30:05.443229+00:00,reversion,0.54,0.6249123750269803,4.48,0.3750876249730197,0.18650599867526652,52,3,2026-07-28 00:29:59.023000+00:00,0.2289148802417431,0.15149255987912813
823839,no,single,2026-07-28 01:36:13.353239+00:00,2026-07-28 01:37:15.067166+00:00,reversion,0.08,0.15143254389324742,29.35,0.8485674561067525,0.029203284292601606,80,1,2026-07-28 01:36:03.651000+00:00,1.6809903265336255,0.41555483673318705
823839,no,single,2026-07-28 01:35:07.912485+00:00,,settlement,0.19,,12.45,0.6328939796504168,0.017654818312708303,79,6,2026-07-28 01:35:01.300000+00:00,-2.4997,0.13419999999999987
823920,yes,single,2026-08-02 02:55:52.820707+00:00,,settlement,0.3,,7.94,0.3891336070986627,0.1421192100981622,55,1,2026-08-02 02:55:48.336000+00:00,-2.4988,0.11680000000000001
824001,yes,hit_by_pitch,2026-07-28 04:37:53.819463+00:00,,settlement,0.37,,6.47,0.5380959016530903,0.008663596208873248,75,9,2026-07-28 04:37:48.064000+00:00,-2.4995,0.10559999999999992
824244,no,single,2026-07-25 19:28:04.121341+00:00,2026-07-25 19:30:39.895138+00:00,reversion,0.64,0.7535840484935085,3.81,0.24641595150649165,0.00520918017792608,69,5,2026-07-25 19:28:02.516000+00:00,0.3216104495205343,0.11114477523973254
824321,yes,single,2026-08-05 03:12:03.928529+00:00,2026-08-05 03:15:13.475038+00:00,reversion,0.35,0.4387520849010963,6.83,0.4387520849010963,0.007963911324668893,71,4,2026-08-05 03:11:51.048000+00:00,0.3795534797489758,0.22662326012551204
824402,yes,field_error,2026-08-06 01:31:59.544140+00:00,,settlement,0.53,,4.56,0.6588622381865823,0.008663596208873248,78,2,2026-08-06 01:31:54.447000+00:00,0.4297463674978983,0.15127681625105094
