game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822783,no,single,2026-08-02 19:47:28.981007+00:00,,settlement,0.53,,4.56,0.3532455278600744,0.005671722413391533,62,6,2026-08-02 19:47:22.153000+00:00,0.38356569647332317,0.15236715176333826
822950,yes,single,2026-07-26 17:15:29.159802+00:00,2026-07-26 17:31:13.575547+00:00,reversion,0.69,0.7668747705288971,3.54,0.7864870476619672,0.6897198651829489,34,1,2026-07-26 17:15:14.444000+00:00,0.1746733753445917,0.09746331232770444
823023,yes,single,2026-07-30 18:46:38.778855+00:00,2026-07-30 18:48:01.013365+00:00,reversion,0.64,0.7144023967771476,3.81,0.7228223623090126,0.7097643801586718,14,3,2026-07-30 18:46:31.138000+00:00,0.16754626344186496,0.11592686827906729
823193,yes,single,2026-07-29 02:56:28.097998+00:00,2026-07-29 03:01:39.475223+00:00,reversion,0.08,0.06534753788990999,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-0.706899525862283,0.27684976293114105
823275,yes,field_error,2026-07-29 04:05:53.940673+00:00,2026-07-29 04:10:28.771823+00:00,reversion,0.69,0.6026463471246271,3.54,0.7799822178271495,0.4785837018611233,64,2,2026-07-29 04:05:39.115000+00:00,-0.4217638623576403,0.11253193117882043
823425,no,single,2026-08-09 20:05:30.145826+00:00,,settlement,0.56,,4.33,0.34760719079490937,0.007699562942167004,74,1,2026-08-09 20:05:26.342000+00:00,-2.4995,0.07469999999999954
823428,yes,catcher_interf,2026-08-08 03:48:15.287894+00:00,2026-08-08 03:49:27.627880+00:00,reversion,0.23,0.3440178357699846,10.31,0.3440178357699845,0.005226469933405014,78,1,2026-08-08 03:48:08.922000+00:00,0.8847477735770828,0.2907761132114586
823428,yes,single,2026-08-08 03:53:11.947118+00:00,,settlement,0.21,,11.28,0.32744729214570106,0.004615386132971579,80,5,2026-08-08 03:53:07.152000+00:00,1.0166619649641007,0.3048690175179498
823434,yes,hit_by_pitch,2026-07-25 00:51:47.980081+00:00,2026-07-25 00:54:53.659757+00:00,reversion,0.28,0.36474332763929307,8.5,0.3732676344133756,0.19427195850818813,56,1,2026-07-25 00:51:44.375000+00:00,0.4624365698679824,0.25788171506600843
823514,yes,triple,2026-08-08 20:28:30.921471+00:00,2026-08-08 20:29:36.406624+00:00,reversion,0.57,0.6667867819626446,4.25,0.6603229280578892,0.49538250844435006,37,8,2026-08-08 20:28:23.326000+00:00,0.2721876466824793,0.13915617665876034
