enabled,minimum_edge,confirmation_seconds,maximum_pre_event_trade_age_seconds,maximum_event_to_entry_seconds,invalidate_on_next_pitch,minimum_fair_move,momentum_exit_enabled,momentum_window_seconds,minimum_favorable_velocity,momentum_trailing_giveback,momentum_max_hold_seconds,minimum_momentum_trades,minimum_seconds_between_entries,allowed_event_types,maximum_hold_seconds,exit_target_mode,latch_reversion_exit,minimum_reversion_move,side_filter,position_sizing,minimum_edges_by_segment,confirmation_seconds_by_segment,minimum_reversion_moves_by_segment,trades,pnl,capital,fees,games,trades_per_game,roi,pnl_without_best_game,profitable_folds,worst_fold_roi,minimum_fold_trades_per_game
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,False,0.0,both,fixed_payout,{},{},{},385,92.55000000000001,2106.3099999999995,93.95,918,0.41938997821350765,0.043939401132786736,79.86000000000001,3,0.01261321597142493,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,True,0.0,both,fixed_payout,{},{},{},385,7.710000000000008,2106.3099999999995,98.58999999999997,918,0.41938997821350765,0.0036604298512564674,0.4400000000000075,2,-0.024748054598800907,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,False,0.0,both,fixed_payout,{},{},{},385,46.36000000000002,2106.3099999999995,92.03999999999999,918,0.41938997821350765,0.02201005549990269,39.76000000000002,2,-0.0005290525424753424,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,True,0.0,both,fixed_payout,{},{},{},385,8.74000000000003,2106.3099999999995,96.75999999999999,918,0.41938997821350765,0.004149436692604618,-1.1299999999999724,2,-0.03130182421227201,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,False,0.0,both,fixed_payout,{},{},{},385,42.18000000000005,2106.3099999999995,105.82,918,0.41938997821350765,0.020025542299091804,38.54000000000005,3,0.005230258961602255,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,True,0.0,both,fixed_payout,{},{},{},385,24.390000000000022,2106.3099999999995,106.50999999999999,918,0.41938997821350765,0.011579492097554505,20.91000000000002,2,-0.00571376745873388,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,False,0.0,both,fixed_payout,{},{},{},385,43.280000000000044,2106.3099999999995,105.81999999999998,918,0.41938997821350765,0.02054778261509467,39.54000000000004,3,0.010061870136497016,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,True,0.0,both,fixed_payout,{},{},{},385,18.120000000000037,2106.3099999999995,106.47999999999998,918,0.41938997821350765,0.008602722296338166,14.590000000000035,2,-0.006802104117540334,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,False,0.0,both,fixed_payout,{},{},{},385,30.620000000000033,2106.3099999999995,103.78000000000002,918,0.41938997821350765,0.014537271341825296,25.160000000000032,2,-0.015770506442148242,0.3729903536977492
True,0.045,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,True,0.0,both,fixed_payout,{},{},{},385,-4.5399999999999565,2106.3099999999995,105.13999999999999,918,0.41938997821350765,-0.002155428213320906,-9.999999999999957,2,-0.028240209210358476,0.3729903536977492
