game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822701,yes,single,2026-08-08 23:31:19.997191+00:00,2026-08-08 23:35:31.578794+00:00,timeout,0.71,0.7,3.45,0.7823337918577449,0.7155276337142448,23,3,2026-08-08 23:31:17.023000+00:00,-0.1351,0.10060000000000002
822703,no,fielders_choice,2026-07-29 02:26:58.516162+00:00,2026-07-29 02:27:08.813774+00:00,reversion,0.05,0.08,5.0,0.9249185841616696,0.9165198001017938,69,2,2026-07-29 02:26:53.828000+00:00,0.10750000000000004,0.04249999999999998
822708,no,single,2026-07-12 18:53:20.784600+00:00,2026-07-12 18:57:22.546577+00:00,timeout,0.58,0.6,4.18,0.3387942574813601,0.27181369700255875,33,3,2026-07-12 18:53:16.707000+00:00,-0.05800000000000072,0.1416000000000004
822708,yes,field_error,2026-07-12 19:38:59.247996+00:00,2026-07-12 19:40:43.892208+00:00,reversion,0.71,0.7500000000000001,3.45,0.7613949705721746,0.7298957576976294,52,4,2026-07-12 19:38:48.162000+00:00,0.042900000000000826,0.09509999999999952
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.09271278041720121,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822709,yes,fielders_choice,2026-07-11 01:21:16.773924+00:00,2026-07-11 01:25:01.751605+00:00,reversion,0.37,0.36925925925925923,5.4,0.4284831239683327,0.38049443771695385,16,5,2026-07-11 01:21:10.674000+00:00,-0.18029999999999974,0.17629999999999973
822709,no,single,2026-07-11 03:08:36.786118+00:00,2026-07-11 03:09:16.761921+00:00,reversion,0.18,0.21000000000000002,5.0,0.765375357893385,0.7256068125239338,60,3,2026-07-11 03:08:33.876000+00:00,0.040200000000000014,0.10980000000000012
822709,yes,double,2026-07-11 01:32:52.461381+00:00,,settlement,0.41,,5.85,0.47281796852268676,0.39022773725516013,22,3,2026-07-11 01:32:46.398000+00:00,0.3202000000000005,0.20129999999999987
822781,yes,single,2026-08-01 19:57:39.348987+00:00,2026-08-01 20:01:41.590424+00:00,timeout,0.73,0.76,2.33,0.7794966621446183,0.6695473319217274,26,4,2026-08-01 19:57:36.022000+00:00,0.00790000000000024,0.06199999999999983
822782,yes,hit_by_pitch,2026-08-01 01:09:33.205087+00:00,2026-08-01 01:12:19.381594+00:00,reversion,0.7,0.55,3.49,0.7782235925611845,0.5704194387811204,56,1,2026-08-01 01:09:26.713000+00:00,-0.6353999999999997,0.11189999999999989
822783,yes,single,2026-08-02 20:04:58.074045+00:00,2026-08-02 20:05:23.864649+00:00,reversion,0.02,0.03,5.0,0.03725765667426958,0.0009235151401618139,69,1,2026-08-02 20:04:54.436000+00:00,0.032899999999999985,0.017100000000000004
822786,yes,single,2026-07-19 18:33:14.732139+00:00,2026-07-19 18:33:53.551975+00:00,reversion,0.04,0.12019467213114753,58.56,0.06679329069139144,0.001187371367951707,62,5,2026-07-19 18:33:10.758000+00:00,4.105099999999999,0.5910999999999998
822792,no,field_error,2026-06-29 23:26:48.514557+00:00,2026-06-29 23:32:36.314517+00:00,timeout,0.38,0.33,2.0,0.5544042292419143,0.49353528108537625,11,3,2026-06-29 23:26:44.281000+00:00,-0.16399999999999992,0.06399999999999995
822863,yes,single,2026-08-08 02:34:44.024636+00:00,2026-08-08 02:37:30.836219+00:00,reversion,0.78,0.85,3.15,0.8211443474701957,0.6720032649612893,61,4,2026-08-08 02:34:40.119000+00:00,0.15439999999999943,0.06610000000000049
822865,yes,single,2026-08-05 02:44:44.664677+00:00,2026-08-05 02:48:58.221832+00:00,timeout,0.95,0.8900000000000001,2.62,0.967254650945191,0.88727323905746,70,3,2026-08-05 02:44:40.211000+00:00,-0.18399999999999928,0.026799999999999713
822865,yes,single,2026-08-05 02:50:49.445147+00:00,2026-08-05 02:54:54.775827+00:00,timeout,0.6,0.68,4.05,0.675814129324799,0.012345062978081467,72,5,2026-08-05 02:50:41.635000+00:00,0.19419999999999993,0.12980000000000036
822865,yes,double,2026-08-05 02:56:19.504736+00:00,2026-08-05 02:56:25.265107+00:00,reversion,0.74,0.81,1.89,0.7851800243318134,0.014291777064517428,75,1,2026-08-05 02:56:15.796000+00:00,0.08640000000000003,0.04590000000000005
822870,yes,triple,2026-07-26 19:17:30.063729+00:00,2026-07-26 19:19:43.693679+00:00,reversion,0.59,0.56,4.11,0.6528149803448599,0.6469791641002866,18,5,2026-07-26 19:17:24.534000+00:00,-0.2637999999999989,0.1404999999999994
822876,no,single,2026-07-12 21:33:15.522220+00:00,,settlement,0.19,,12.45,0.7432779296334479,0.013976556808617282,77,1,2026-07-12 21:33:07.647000+00:00,-2.4997,0.13419999999999987
822876,no,single,2026-07-12 21:35:15.703410+00:00,,settlement,0.09,,2.76,0.8421848718177479,0.02345889440036376,78,5,2026-07-12 21:35:11.310000+00:00,-0.2643,0.015899999999999997
822877,no,single,2026-07-10 02:16:17.949244+00:00,2026-07-10 02:16:23.283634+00:00,reversion,0.27,0.37,8.8,0.644083848203405,0.5903222630939045,60,3,2026-07-10 02:16:14.018000+00:00,0.6149000000000004,0.26509999999999945
822879,no,catcher_interf,2026-07-05 20:56:35.232812+00:00,2026-07-05 21:00:53.422536+00:00,timeout,0.83,0.93,2.97,0.13211768626851658,0.07609475840439694,37,2,2026-07-05 20:56:28.581000+00:00,0.25400000000000045,0.042999999999999705
822881,yes,single,2026-07-08 02:23:39.009591+00:00,2026-07-08 02:27:43.600219+00:00,timeout,0.73,0.75,3.36,0.7853642823839064,0.5230083814936549,62,3,2026-07-08 02:23:34.612000+00:00,-0.023299999999999876,0.09050000000000002
822884,yes,walk,2026-07-03 00:48:18.047653+00:00,2026-07-03 00:52:19.670586+00:00,timeout,0.81,0.8300000000000001,3.04,0.8555109832637673,0.8366427967444606,17,7,2026-07-03 00:48:11.516000+00:00,-0.0020999999999999908,0.06289999999999996
822946,yes,single,2026-07-30 16:54:38.343173+00:00,2026-07-30 16:58:44.700040+00:00,timeout,0.73,0.7700000000000001,3.36,0.7835099595310314,0.6453154385725253,20,5,2026-07-30 16:54:33.952000+00:00,0.04630000000000045,0.08809999999999985
822946,no,hit_by_pitch,2026-07-30 17:03:05.815604+00:00,2026-07-30 17:07:18.328487+00:00,timeout,0.28,0.37,8.5,0.6696306169451007,0.4901417943481232,24,1,2026-07-30 17:03:01.936000+00:00,0.5062000000000002,0.2587999999999995
822946,yes,walk,2026-07-30 18:58:21.745144+00:00,2026-07-30 18:59:56.780486+00:00,reversion,0.88,0.98,2.81,0.9130572673962732,0.7292659566427777,70,7,2026-07-30 18:58:18.389000+00:00,0.2563000000000004,0.024699999999999722
822950,no,double,2026-07-26 16:16:06.660751+00:00,2026-07-26 16:20:29.832626+00:00,timeout,0.49,0.44,1.0,0.45648858111541185,0.38339851305778316,1,3,2026-07-26 16:16:00.321000+00:00,-0.08479999999999993,0.03479999999999994
822950,yes,single,2026-07-26 17:15:21.201451+00:00,2026-07-26 17:19:26.034467+00:00,timeout,0.73,0.72,1.34,0.7864870476619672,0.6897198651829489,34,1,2026-07-26 17:15:14.444000+00:00,-0.050900000000000056,0.03749999999999998
822952,yes,double,2026-07-24 23:50:37.893304+00:00,2026-07-24 23:51:00.105245+00:00,reversion,0.69,0.74,3.35,0.7334469251230618,0.6257903598739287,23,4,2026-07-24 23:50:33.154000+00:00,0.07210000000000027,0.09540000000000015
822952,yes,triple,2026-07-25 00:00:38.755417+00:00,2026-07-25 00:02:18.480349+00:00,reversion,0.78,0.8299999999999998,3.15,0.828440490149364,0.7555892829280579,28,5,2026-07-25 00:00:31.691000+00:00,0.08839999999999915,0.0691000000000006
822954,no,single,2026-07-09 18:02:06.160420+00:00,2026-07-09 18:06:04.523714+00:00,reversion,0.87,0.92,2.84,0.08806761190366244,0.07674603955953163,22,2,2026-07-09 18:02:03.361000+00:00,0.1048,0.037200000000000344
822959,no,hit_by_pitch,2026-06-28 18:38:08.712904+00:00,2026-06-28 18:42:15.710552+00:00,timeout,0.15,0.15,12.58,0.8077234766678847,0.7167139635934773,29,2,2026-06-28 18:37:52.215000+00:00,-0.2247000000000001,0.22470000000000012
823023,yes,single,2026-07-30 18:46:38.778855+00:00,2026-07-30 18:48:56.585827+00:00,reversion,0.64,0.7,3.81,0.7228223623090126,0.7097643801586718,14,3,2026-07-30 18:46:31.138000+00:00,0.11099999999999977,0.11759999999999993
823036,no,double,2026-07-07 01:45:46.275035+00:00,2026-07-07 01:46:15.951009+00:00,reversion,0.49,0.61,4.92,0.39396922705850096,0.3562534920495466,53,8,2026-07-07 01:45:42.798000+00:00,0.42229999999999945,0.16810000000000036
