minimum_edge,confirmation_seconds,minimum_reversion_move,event_policy,side_filter,position_sizing,observed_hits,eligible_hit_updates,rejected_fair_updates,invalidated_candidates,expired_candidates,fresh_hit_anchors,confirmed_signals,trades,yes_trades,no_trades,reversion_exits,settlements,fees,capital,pnl,roi,pnl_without_best_game,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.1,1.0,0.01,double,no,fixed_payout,2895,687,2208,0,517,526,35,9,0,9,9,0,2.4,51.349999999999994,17.3,0.3369036027263876,13.240000000000002,2,2.0000000000000004,0.14275517487508926,0,0.0,0.0,7,15.3,0.4097482592394216,0,2,0.0
0.1,2.0,0.0,double,no,fixed_payout,2895,687,2208,0,518,526,27,8,0,8,8,0,2.3,41.04,17.200000000000003,0.41910331384015603,13.140000000000004,2,2.560000000000001,0.22358078602620096,0,0.0,0.0,6,14.64,0.4947617438323758,0,2,0.0
0.125,1.0,0.0,double,no,fixed_payout,2895,687,2208,0,518,526,23,8,0,8,8,0,2.23,43.5,15.270000000000003,0.35103448275862076,12.040000000000003,3,4.690000000000001,0.24827951296982537,0,0.0,0.0,5,10.58,0.42990654205607476,0,2,0.0
0.125,2.0,0.0,double,no,fixed_payout,2895,687,2208,0,519,526,16,7,0,7,7,0,2.05,36.150000000000006,13.050000000000002,0.36099585062240663,9.820000000000002,2,2.470000000000001,0.21403812824956683,0,0.0,0.0,5,10.58,0.42990654205607476,0,2,0.0
0.125,1.0,0.01,double,no,fixed_payout,2895,687,2208,0,520,526,23,6,0,6,6,0,1.6199999999999999,32.75,10.78,0.32916030534351143,7.549999999999999,2,2.0000000000000004,0.14275517487508926,0,0.0,0.0,4,8.78,0.46851654215581634,0,2,0.0
0.125,2.0,0.02,double,no,fixed_payout,2895,687,2208,0,524,526,16,2,0,2,2,0,0.5599999999999999,10.66,5.839999999999999,0.547842401500938,2.609999999999999,0,0.0,0.0,0,0.0,0.0,2,5.839999999999999,0.547842401500938,0,1,0.0
0.075,1.0,0.02,double,no,fixed_payout,2895,687,2208,0,519,526,48,7,0,7,7,0,1.9600000000000002,42.199999999999996,13.64,0.32322274881516594,9.780000000000001,1,-0.12999999999999998,-0.019786910197869097,0,0.0,0.0,6,13.77,0.3864720740948639,0,1,-0.019786910197869097
0.1,2.0,0.01,double,no,fixed_payout,2895,687,2208,0,521,526,27,5,0,5,5,0,1.4300000000000002,28.68,10.97,0.38249651324965134,6.910000000000001,1,-0.12999999999999998,-0.019786910197869097,0,0.0,0.0,4,11.1,0.5020352781546812,0,1,-0.019786910197869097
0.1,1.0,0.02,double,no,fixed_payout,2895,687,2208,0,520,526,36,6,0,6,6,0,1.7200000000000002,37.019999999999996,9.780000000000001,0.2641815235008104,6.550000000000001,1,-0.12999999999999998,-0.019786910197869097,0,0.0,0.0,5,9.91,0.32545155993431857,0,1,-0.019786910197869097
0.125,1.0,0.02,double,no,fixed_payout,2895,687,2208,0,522,526,23,4,0,4,4,0,1.1800000000000002,23.4,7.3199999999999985,0.31282051282051276,4.089999999999998,1,-0.12999999999999998,-0.019786910197869097,0,0.0,0.0,3,7.449999999999999,0.44266191325014853,0,1,-0.019786910197869097
0.1,2.0,0.02,double,no,fixed_payout,2895,687,2208,0,522,526,28,4,0,4,4,0,1.1900000000000002,23.7,6.91,0.2915611814345992,3.68,1,-0.12999999999999998,-0.019786910197869097,0,0.0,0.0,3,7.04,0.4109748978400467,0,1,-0.019786910197869097
0.125,2.0,0.01,double,no,fixed_payout,2895,687,2208,0,523,526,16,3,0,3,3,0,0.88,17.32,5.619999999999999,0.3244803695150115,2.3899999999999992,1,-0.2199999999999996,-0.033033033033032976,0,0.0,0.0,2,5.839999999999999,0.547842401500938,0,1,-0.033033033033032976
0.01,2.0,0.02,double,no,fixed_payout,2895,687,2208,0,496,526,145,30,0,30,29,1,8.259999999999998,181.70000000000005,12.939999999999996,0.07121629058888274,9.079999999999997,9,-4.419999999999997,-0.08562572646261135,5,0.899999999999998,0.02712477396021694,16,16.459999999999997,0.16986584107327138,5,2,-0.08562572646261135
0.025,2.0,0.02,double,no,fixed_payout,2895,687,2208,0,506,526,102,20,0,20,19,1,5.619999999999998,125.39000000000001,10.279999999999998,0.08198420926708666,6.419999999999998,6,-3.2899999999999983,-0.0881328690061612,3,0.41999999999999815,0.020134228187919375,11,13.15,0.1956845238095238,3,2,-0.0881328690061612
0.025,1.0,0.01,double,no,fixed_payout,2895,687,2208,0,490,526,124,36,0,36,35,1,9.590000000000002,228.75,17.610000000000003,0.07698360655737706,13.550000000000004,12,9.020000000000001,0.11676375404530748,7,-6.359999999999999,-0.12100456621004567,17,14.950000000000005,0.15110167778451591,7,2,-0.12100456621004567
0.01,1.0,0.02,double,no,fixed_payout,2895,687,2208,0,493,526,171,33,0,33,32,1,9.229999999999999,200.15000000000003,10.770000000000003,0.05380964276792406,6.910000000000004,9,2.120000000000002,0.0410693529639675,7,-6.04,-0.12366912366912367,17,14.690000000000001,0.14735680609890664,7,2,-0.12366912366912367
0.025,1.0,0.0,double,no,fixed_payout,2895,687,2208,0,481,526,123,45,0,45,42,3,11.15,276.38999999999993,19.55,0.07073338398639606,15.490000000000002,19,10.96,0.09045889732585012,9,-7.050000000000001,-0.12372762372762375,17,15.640000000000004,0.15918575063613236,9,2,-0.12372762372762375
0.01,1.0,0.01,double,no,fixed_payout,2895,687,2208,0,475,526,169,51,0,51,50,1,13.650000000000004,305.43999999999994,16.150000000000006,0.05287454164484026,12.090000000000007,18,8.880000000000003,0.08060270491059274,10,-8.709999999999999,-0.12698644117218252,23,15.98,0.12614461635617305,10,2,-0.12698644117218252
0.01,2.0,0.01,double,no,fixed_payout,2895,687,2208,0,480,526,145,46,0,46,44,2,12.150000000000002,270.94999999999993,14.05,0.051854585716921954,9.990000000000002,17,2.320000000000003,0.02307998408276963,7,-6.9700000000000015,-0.147419627749577,22,18.7,0.1518473406414941,7,2,-0.147419627749577
0.01,1.0,0.0,double,no,fixed_payout,2895,687,2208,0,458,526,164,68,0,68,63,5,16.53,368.22999999999996,15.270000000000005,0.04146864731282081,11.210000000000004,28,12.370000000000005,0.07912748672679591,14,-12.49,-0.15746343923348463,26,15.390000000000002,0.11608085684115255,14,2,-0.15746343923348463
0.025,1.0,0.02,double,no,fixed_payout,2895,687,2208,0,504,526,125,22,0,22,21,1,6.369999999999997,136.49000000000004,6.7299999999999995,0.04930764158546412,2.8700000000000006,5,2.4400000000000004,0.08603667136812412,5,-6.52,-0.17853231106243156,12,10.81,0.15095657031140905,5,2,-0.17853231106243156
