game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.0883679443854074,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822877,no,single,2026-07-10 02:16:17.949244+00:00,2026-07-10 02:17:34.053630+00:00,reversion,0.27,0.37,8.8,0.6177805577910038,0.5459833156478417,60,3,2026-07-10 02:16:14.018000+00:00,0.6149000000000004,0.26509999999999945
823036,no,single,2026-07-07 01:52:18.265777+00:00,2026-07-07 01:52:23.572208+00:00,reversion,0.69,0.78,3.54,0.2242337776963125,0.09639361772975319,56,1,2026-07-07 01:52:05.502000+00:00,0.22290000000000054,0.0956999999999999
823119,yes,walk,2026-07-03 03:21:13.610940+00:00,2026-07-03 03:25:19.121083+00:00,timeout,0.8,0.7699999999999999,3.08,0.8748414798331977,0.7931793719426178,43,9,2026-07-03 03:20:58.886000+00:00,-0.16509999999999958,0.07269999999999954
823122,yes,single,2026-07-01 03:19:59.863058+00:00,2026-07-01 03:20:29.105876+00:00,reversion,0.8,0.85,3.08,0.8855396294051482,0.8081838144546336,44,4,2026-07-01 03:19:49.298000+00:00,0.09199999999999964,0.06199999999999983
823122,no,single,2026-07-01 03:57:33.998337+00:00,,settlement,0.21,,11.28,0.716210209517412,0.7349108329451269,56,4,2026-07-01 03:57:29.114000+00:00,-1.4439,0.20210000000000014
823200,yes,single,2026-07-11 05:41:16.442684+00:00,2026-07-11 05:45:08.172458+00:00,reversion,0.22,0.34,10.77,0.32538020417889724,0.004699516693685564,81,5,2026-07-11 05:41:10.250000+00:00,0.9937999999999998,0.2986000000000004
823200,no,walk,2026-07-11 05:50:24.674714+00:00,2026-07-11 05:53:04.874901+00:00,reversion,0.67,0.98,3.64,0.2387421739890079,0.004064248860708737,83,7,2026-07-11 05:50:22.164000+00:00,1.0670000000000002,0.0613999999999999
823204,yes,single,2026-06-28 21:26:50.019274+00:00,2026-06-28 21:28:40.867325+00:00,reversion,0.73,0.81,3.36,0.8160104539909468,0.8078513769270943,43,2,2026-06-28 21:26:34.177000+00:00,0.18619999999999992,0.08260000000000023
823446,yes,fielders_choice,2026-07-01 23:18:53.038528+00:00,2026-07-01 23:19:52.188428+00:00,reversion,0.81,0.9399999999999998,3.04,0.8908396531738796,0.8156326810835599,17,2,2026-07-01 23:18:38.296000+00:00,0.3502999999999994,0.04490000000000016
823764,yes,walk,2026-07-19 19:52:22.218760+00:00,2026-07-19 19:56:22.220096+00:00,reversion,0.43,0.71,5.59,0.5177043922824393,0.3015945297658349,42,6,2026-07-19 19:52:13.298000+00:00,1.3885999999999994,0.17660000000000053
824006,no,single,2026-07-21 04:31:44.629567+00:00,2026-07-21 04:35:45.795737+00:00,timeout,0.81,0.11000000000000001,3.04,0.1502987887755656,0.0021259156768274542,62,4,2026-07-21 04:31:36.016000+00:00,-2.1817,0.053699999999999914
824083,no,hit_by_pitch,2026-07-22 19:13:11.178490+00:00,2026-07-22 19:15:18.925444+00:00,reversion,0.6,0.7,4.05,0.2987874276814852,0.20692012746425603,33,2,2026-07-22 19:13:00.457000+00:00,0.277299999999999,0.1277000000000008
824087,no,single,2026-07-21 00:42:47.547356+00:00,2026-07-21 00:43:24.435789+00:00,reversion,0.2,0.20999999999999996,11.83,0.6944937913833111,0.6339922981245681,33,3,2026-07-21 00:42:42.960000+00:00,-0.15160000000000062,0.26990000000000025
824090,yes,fielders_choice,2026-07-18 01:53:18.398876+00:00,2026-07-18 01:54:36.295709+00:00,reversion,0.59,0.71,4.11,0.7082534410676117,0.6242327747136392,47,3,2026-07-18 01:53:13.891000+00:00,0.36430000000000007,0.1288999999999998
824249,yes,hit_by_pitch,2026-07-12 00:17:27.072811+00:00,,settlement,0.19,,12.45,0.3106573114554849,0.1452191078455978,61,1,2026-07-12 00:17:23.712000+00:00,1.6561000000000001,0.33240000000000003
824252,yes,single,2026-07-11 00:24:14.134228+00:00,2026-07-11 00:24:43.626109+00:00,reversion,0.74,0.8,3.31,0.8223304290246004,0.7877139434119664,48,3,2026-07-11 00:24:11.669000+00:00,0.11690000000000023,0.0817000000000001
824416,yes,single,2026-07-02 22:50:14.820651+00:00,2026-07-02 22:52:20.860493+00:00,reversion,0.59,0.7,4.11,0.6980371198843601,0.6660964492924917,5,2,2026-07-02 22:50:08.504000+00:00,0.3220000000000005,0.13009999999999966
824738,yes,field_error,2026-07-18 23:14:52.346674+00:00,2026-07-18 23:16:43.390048+00:00,reversion,0.19,0.28,12.45,0.2713918924292319,0.17536046961705262,56,3,2026-07-18 23:14:39.399000+00:00,0.8106000000000004,0.30989999999999984
824742,no,single,2026-07-01 01:14:59.140832+00:00,2026-07-01 01:18:26.327851+00:00,reversion,0.63,0.79,3.86,0.2242337776963125,0.10520344386639113,47,1,2026-07-01 01:14:56.097000+00:00,0.5096999999999996,0.10790000000000033
824744,no,fielders_choice,2026-06-29 01:52:03.941660+00:00,2026-06-29 01:55:52.885098+00:00,reversion,0.37,0.44,6.47,0.49865564702553467,0.008512378052270564,60,3,2026-06-29 01:51:55.324000+00:00,0.23570000000000002,0.21720000000000006
824820,yes,single,2026-07-08 01:44:46.770452+00:00,2026-07-08 01:47:18.504096+00:00,reversion,0.15,0.13,15.73,0.2514787506980167,0.12351737265510315,60,4,2026-07-08 01:44:43.080000+00:00,-0.5795999999999997,0.2649999999999997
824822,no,single,2026-06-30 01:01:26.605616+00:00,2026-06-30 01:02:06.088874+00:00,reversion,0.7,0.84,3.49,0.17143448242658932,0.045207100863179805,61,4,2026-06-30 01:01:23.254000+00:00,0.40429999999999966,0.08430000000000026
824902,no,single,2026-07-05 21:17:49.095086+00:00,,settlement,0.72,,3.4,0.18348726143274585,0.0028991157136442993,82,2,2026-07-05 21:17:44.201000+00:00,0.9039999999999999,0.04800000000000004
825058,no,single,2026-07-21 04:00:10.573054+00:00,2026-07-21 04:03:31.338790+00:00,reversion,0.39,0.59,6.14,0.48208036357674483,0.2713349522101717,57,4,2026-07-21 04:00:05.352000+00:00,1.0216999999999996,0.20630000000000015
