game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822701,yes,single,2026-08-08 23:31:19.997191+00:00,2026-08-08 23:35:31.578794+00:00,timeout,0.71,0.7,3.45,0.7823337918577449,0.7155276337142448,23,3,2026-08-08 23:31:17.023000+00:00,-0.1351,0.10060000000000002
822703,no,walk,2026-07-29 00:08:18.446100+00:00,2026-07-29 00:09:15.402122+00:00,reversion,0.25,0.21999999999999997,9.5,0.7781486911833672,0.7370273172312276,8,4,2026-07-29 00:08:09.665000+00:00,-0.5239000000000003,0.2389000000000001
822782,yes,hit_by_pitch,2026-08-01 01:09:33.205087+00:00,2026-08-01 01:12:19.381594+00:00,reversion,0.7,0.55,3.49,0.7782235925611845,0.5704194387811204,56,1,2026-08-01 01:09:26.713000+00:00,-0.6353999999999997,0.11189999999999989
822865,yes,single,2026-08-05 02:50:49.632279+00:00,2026-08-05 02:54:54.775827+00:00,timeout,0.6,0.68,4.05,0.675814129324799,0.012345062978081467,72,5,2026-08-05 02:50:41.635000+00:00,0.19419999999999993,0.12980000000000036
822950,yes,single,2026-07-26 17:15:26.989427+00:00,2026-07-26 17:19:31.855628+00:00,timeout,0.71,0.73,3.45,0.7864870476619672,0.6897198651829489,34,1,2026-07-26 17:15:14.444000+00:00,-0.02839999999999998,0.09739999999999993
823020,yes,single,2026-08-09 18:22:50.061350+00:00,2026-08-09 18:23:12.598867+00:00,reversion,0.54,0.54,4.48,0.49453176274987004,0.36677851382526416,4,4,2026-08-09 18:22:35.765000+00:00,-0.15579999999999927,0.15579999999999927
823023,yes,single,2026-07-30 18:46:38.778855+00:00,2026-07-30 18:48:56.585827+00:00,reversion,0.64,0.7,3.81,0.7228223623090126,0.7097643801586718,14,3,2026-07-30 18:46:31.138000+00:00,0.11099999999999977,0.11759999999999993
823102,yes,single,2026-08-09 03:48:24.758782+00:00,2026-08-09 03:52:26.249067+00:00,timeout,0.19,0.21,12.45,0.25349793471669285,0.10553460520130742,47,7,2026-08-09 03:48:13.842000+00:00,-0.029800000000000715,0.2788000000000004
823111,no,single,2026-08-01 04:05:26.988451+00:00,2026-08-01 04:05:32.998437+00:00,reversion,0.45,0.54,5.34,0.48177372163874077,0.2976935634248782,49,4,2026-08-01 04:05:20.355000+00:00,0.2950999999999997,0.18550000000000022
823193,yes,single,2026-07-29 02:56:28.097998+00:00,2026-07-29 03:00:51.498564+00:00,timeout,0.08,0.08,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-0.3025999999999991,0.3025999999999991
823275,yes,field_error,2026-07-29 03:11:25.832575+00:00,2026-07-29 03:11:33.757294+00:00,reversion,0.49,0.59,4.92,0.5837747909012394,0.3780165436663704,40,2,2026-07-29 03:11:15.719000+00:00,0.3224999999999989,0.16950000000000065
823275,yes,field_error,2026-07-29 04:05:53.940673+00:00,2026-07-29 04:09:56.508755+00:00,timeout,0.69,0.66,3.54,0.7799822178271495,0.4785837018611233,64,2,2026-07-29 04:05:39.115000+00:00,-0.2149999999999994,0.10880000000000001
823354,no,triple,2026-07-26 18:39:54.655501+00:00,,settlement,0.14,,16.84,0.7933394184114135,0.8297504385538754,35,6,2026-07-26 18:39:50.409000+00:00,-0.4133,0.27719999999999984
823425,no,single,2026-08-09 20:05:30.145826+00:00,2026-08-09 20:09:33.159791+00:00,timeout,0.56,0.33,4.33,0.34760719079490937,0.007699562942167004,74,1,2026-08-09 20:05:26.342000+00:00,-1.1376999999999997,0.14179999999999948
823428,yes,catcher_interf,2026-08-08 03:48:15.287894+00:00,2026-08-08 03:49:29.025672+00:00,reversion,0.23,0.35484966052376327,10.31,0.3440178357699845,0.005226469933405014,78,1,2026-08-08 03:48:08.922000+00:00,0.9939999999999991,0.2932000000000003
823428,yes,single,2026-08-08 03:53:11.947118+00:00,2026-08-08 03:53:18.421401+00:00,reversion,0.21,0.34,11.28,0.32744729214570106,0.004615386132971579,80,5,2026-08-08 03:53:07.152000+00:00,1.1581999999999995,0.3082000000000007
823428,no,single,2026-08-08 01:43:28.278184+00:00,,settlement,0.53,,4.56,0.40350633626550025,0.2686782817077976,32,3,2026-08-08 01:43:20.826000+00:00,-0.2455000000000005,0.15920000000000023
823434,yes,hit_by_pitch,2026-07-25 00:51:47.980081+00:00,2026-07-25 00:54:54.494892+00:00,reversion,0.28,0.48,8.5,0.3732676344133756,0.19427195850818813,56,1,2026-07-25 00:51:44.375000+00:00,1.4313999999999998,0.26859999999999995
823514,yes,triple,2026-08-08 20:28:27.756406+00:00,2026-08-08 20:29:37.435107+00:00,reversion,0.58,0.67,4.18,0.6603229280578892,0.49538250844435006,37,8,2026-08-08 20:28:23.326000+00:00,0.24019999999999975,0.13600000000000012
823595,no,single,2026-07-31 02:42:34.695568+00:00,2026-07-31 02:46:35.914260+00:00,timeout,0.08,0.04,29.35,0.7686440750044259,0.9099960436370118,64,4,2026-07-31 02:42:32.027000+00:00,-1.4041999999999994,0.2301999999999993
823601,no,walk,2026-07-25 00:59:36.296098+00:00,2026-07-25 01:03:43.233134+00:00,reversion,0.73,0.75,3.36,0.1992845508506132,0.11511921245567425,51,8,2026-07-25 00:59:30.105000+00:00,-0.023299999999999876,0.09050000000000002
823836,no,walk,2026-08-08 00:33:39.141382+00:00,2026-08-08 00:34:46.151040+00:00,reversion,0.42,0.41999999999999993,5.72,0.5110366716641004,0.3592347714735793,40,6,2026-08-08 00:33:22.602000+00:00,-0.1952000000000007,0.1952000000000007
823837,no,single,2026-07-29 18:11:27.385501+00:00,2026-07-29 18:15:39.799219+00:00,timeout,0.44,0.52,5.46,0.3737067087082392,0.3367686292243269,62,3,2026-07-29 18:11:25.168000+00:00,0.24719999999999986,0.1896
823839,no,single,2026-07-28 00:30:01.656084+00:00,2026-07-28 00:30:05.841384+00:00,reversion,0.54,0.68,4.48,0.3750876249730197,0.18650599867526652,52,3,2026-07-28 00:29:59.023000+00:00,0.4810000000000012,0.146199999999999
823839,no,single,2026-07-28 01:36:10.486809+00:00,2026-07-28 01:37:16.602413+00:00,reversion,0.09,0.17,26.11,0.8485674561067525,0.029203284292601606,80,1,2026-07-28 01:36:03.651000+00:00,1.6811999999999996,0.4076000000000004
823839,no,single,2026-07-28 01:35:07.912485+00:00,,settlement,0.19,,12.45,0.6328939796504168,0.017654818312708303,79,6,2026-07-28 01:35:01.300000+00:00,-2.4997,0.13419999999999987
823841,no,single,2026-07-25 21:00:54.426731+00:00,2026-07-25 21:05:00.779558+00:00,timeout,0.6,0.53,4.05,0.3188622196450124,0.25723876752291763,20,1,2026-07-25 21:00:51.364000+00:00,-0.4222999999999999,0.13880000000000026
823843,yes,single,2026-07-24 23:26:47.036253+00:00,,settlement,0.53,,4.56,0.5883646851546878,0.5239326507496863,8,1,2026-07-24 23:26:35.156000+00:00,0.06489999999999971,0.15730000000000022
823920,yes,single,2026-08-02 02:55:52.820707+00:00,2026-08-02 02:59:54.458783+00:00,timeout,0.3,0.3462972292191436,7.94,0.3891336070986627,0.1421192100981622,55,1,2026-08-02 02:55:48.336000+00:00,0.1248999999999999,0.24270000000000014
823921,yes,walk,2026-07-31 02:23:21.713047+00:00,2026-07-31 02:25:05.989687+00:00,reversion,0.61,0.7300000000000001,3.98,0.6829052428873652,0.5603215142919233,5,6,2026-07-31 02:23:15.990000+00:00,0.3562999999999998,0.1213000000000002
823922,no,single,2026-08-01 03:39:05.628264+00:00,2026-08-01 03:43:12.632737+00:00,timeout,0.55,0.57,4.4,0.3751110232763707,0.2634704806023576,42,4,2026-08-01 03:39:01.083000+00:00,-0.06380000000000008,0.1517999999999997
823923,no,single,2026-07-29 04:38:06.608532+00:00,2026-07-29 04:42:09.815093+00:00,timeout,0.77,0.79,3.19,0.16965159809941174,0.00292079937189412,73,5,2026-07-29 04:37:59.435000+00:00,-0.012899999999999245,0.07669999999999932
824001,no,single,2026-07-28 01:58:27.199677+00:00,2026-07-28 01:59:26.809669+00:00,reversion,0.22,0.21,10.77,0.7947882523608216,0.786672128869536,8,1,2026-07-28 01:58:19.939000+00:00,-0.3622000000000005,0.2545000000000006
824001,yes,single,2026-07-28 04:26:15.619309+00:00,2026-07-28 04:29:06.806504+00:00,reversion,0.69,0.62,3.54,0.7510371546492947,0.7085450408579634,70,6,2026-07-28 04:26:13.735000+00:00,-0.3593000000000002,0.11150000000000038
824001,yes,hit_by_pitch,2026-07-28 04:37:53.819463+00:00,2026-07-28 04:41:54.668589+00:00,timeout,0.37,0.11,6.47,0.5380959016530903,0.008663596208873248,75,9,2026-07-28 04:37:48.064000+00:00,-1.8321999999999998,0.1499999999999999
824003,yes,single,2026-07-29 04:23:19.359647+00:00,2026-07-29 04:24:51.291662+00:00,reversion,0.28,0.47,8.5,0.35392570698798215,0.006673703000410591,70,2,2026-07-29 04:23:15.641000+00:00,1.3466999999999993,0.26829999999999987
824162,yes,single,2026-08-02 00:07:18.019987+00:00,2026-08-02 00:09:44.384658+00:00,reversion,0.75,0.77,3.27,0.8137969761389666,0.7224041924362107,28,1,2026-08-02 00:07:13.437000+00:00,-0.018199999999999772,0.08359999999999967
