game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822701,yes,single,2026-08-08 23:31:19.997191+00:00,2026-08-08 23:35:31.578794+00:00,timeout,0.71,0.7,3.45,0.7823337918577449,0.7155276337142448,23,3,2026-08-08 23:31:17.023000+00:00,-0.1351,0.10060000000000002
822781,yes,single,2026-08-01 19:57:47.254064+00:00,2026-08-01 20:01:53.838180+00:00,timeout,0.71,0.74,3.45,0.7794966621446183,0.6695473319217274,26,4,2026-08-01 19:57:36.022000+00:00,0.007200000000000095,0.09629999999999983
822782,yes,hit_by_pitch,2026-08-01 01:09:33.205087+00:00,2026-08-01 01:12:19.381594+00:00,reversion,0.7,0.55,3.49,0.7782235925611845,0.5704194387811204,56,1,2026-08-01 01:09:26.713000+00:00,-0.6353999999999997,0.11189999999999989
822865,yes,single,2026-08-05 02:50:49.632279+00:00,2026-08-05 02:54:54.775827+00:00,timeout,0.6,0.68,4.05,0.675814129324799,0.012345062978081467,72,5,2026-08-05 02:50:41.635000+00:00,0.19419999999999993,0.12980000000000036
822946,yes,fielders_choice,2026-07-30 17:13:44.539130+00:00,2026-07-30 17:14:05.149105+00:00,reversion,0.55,0.54,4.4,0.5327542439942662,0.33995551099610055,27,3,2026-07-30 17:13:07.927000+00:00,-0.1968999999999994,0.15289999999999937
822950,yes,single,2026-07-26 17:15:26.989427+00:00,2026-07-26 17:19:31.855628+00:00,timeout,0.71,0.73,3.45,0.7864870476619672,0.6897198651829489,34,1,2026-07-26 17:15:14.444000+00:00,-0.02839999999999998,0.09739999999999993
823020,yes,single,2026-08-09 18:22:50.061350+00:00,2026-08-09 18:23:12.598867+00:00,reversion,0.54,0.54,4.48,0.49453176274987004,0.36677851382526416,4,4,2026-08-09 18:22:35.765000+00:00,-0.15579999999999927,0.15579999999999927
823020,yes,single,2026-08-09 20:55:51.859314+00:00,2026-08-09 20:55:59.162529+00:00,reversion,0.73,0.81,3.36,0.7980726400754911,0.5230083814936549,70,3,2026-08-09 20:55:14.662000+00:00,0.18619999999999992,0.08260000000000023
823023,yes,single,2026-07-30 18:46:38.778855+00:00,2026-07-30 18:48:56.585827+00:00,reversion,0.64,0.7,3.81,0.7228223623090126,0.7097643801586718,14,3,2026-07-30 18:46:31.138000+00:00,0.11099999999999977,0.11759999999999993
823102,yes,single,2026-08-09 03:48:24.758782+00:00,2026-08-09 03:52:26.249067+00:00,timeout,0.19,0.21,12.45,0.25349793471669285,0.10553460520130742,47,7,2026-08-09 03:48:13.842000+00:00,-0.029800000000000715,0.2788000000000004
823106,yes,walk,2026-08-06 01:59:52.326815+00:00,2026-08-06 02:00:29.545186+00:00,reversion,0.61,0.6,3.98,0.6840948090935705,0.5485691491982649,10,6,2026-08-06 01:59:19.754000+00:00,-0.17300000000000004,0.13319999999999999
823190,no,single,2026-08-09 22:06:42.028196+00:00,2026-08-09 22:06:52.417580+00:00,reversion,0.27,0.28,8.8,0.6059731954896188,0.37856790106076843,55,4,2026-08-09 22:06:14.017000+00:00,-0.15769999999999929,0.24569999999999936
823192,no,walk,2026-07-29 21:42:22.412261+00:00,2026-07-29 21:45:49.930328+00:00,reversion,0.09,0.05,26.11,0.8486903991511157,0.8672079086784434,49,7,2026-07-29 21:41:47.434000+00:00,-1.281,0.23660000000000014
823193,yes,single,2026-07-29 02:56:28.097998+00:00,2026-07-29 03:00:51.498564+00:00,timeout,0.08,0.08,29.35,0.07093008566356096,0.05301520148826422,30,1,2026-07-29 02:56:19.404000+00:00,-0.3025999999999991,0.3025999999999991
823196,yes,single,2026-07-25 02:29:16.867908+00:00,2026-07-25 02:29:40.148248+00:00,reversion,0.51,0.48999999999999994,4.73,0.5956514765786788,0.44179512525856734,6,6,2026-07-25 02:28:41.982000+00:00,-0.26029999999999986,0.16569999999999985
823275,yes,field_error,2026-07-29 03:11:25.832575+00:00,2026-07-29 03:11:33.757294+00:00,reversion,0.49,0.59,4.92,0.5837747909012394,0.3780165436663704,40,2,2026-07-29 03:11:15.719000+00:00,0.3224999999999989,0.16950000000000065
823275,yes,field_error,2026-07-29 04:05:53.940673+00:00,2026-07-29 04:09:56.508755+00:00,timeout,0.69,0.66,3.54,0.7799822178271495,0.4785837018611233,64,2,2026-07-29 04:05:39.115000+00:00,-0.2149999999999994,0.10880000000000001
823354,no,triple,2026-07-26 18:39:54.655501+00:00,,settlement,0.14,,16.84,0.7933394184114135,0.8297504385538754,35,6,2026-07-26 18:39:50.409000+00:00,-0.4133,0.27719999999999984
