game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822708,no,single,2026-07-12 18:53:20.784600+00:00,2026-07-12 18:57:22.546577+00:00,timeout,0.58,0.6,4.18,0.3387942574813601,0.27181369700255875,33,3,2026-07-12 18:53:16.707000+00:00,-0.05800000000000072,0.1416000000000004
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.09271278041720121,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822876,no,single,2026-07-12 21:35:17.890804+00:00,,settlement,0.1,,23.51,0.8421848718177479,0.02345889440036376,78,5,2026-07-12 21:35:11.310000+00:00,-2.4992,0.14819999999999967
823029,no,single,2026-07-12 20:25:27.159976+00:00,2026-07-12 20:29:47.989562+00:00,timeout,0.47,0.4699999999999999,5.12,0.4481097049973642,0.439036506774485,55,5,2026-07-12 20:24:55.984000+00:00,-0.17869999999999986,0.17869999999999986
823036,no,single,2026-07-07 01:52:18.265777+00:00,2026-07-07 01:52:23.572208+00:00,reversion,0.69,0.78,3.54,0.2242337776963125,0.10229520276158799,56,1,2026-07-07 01:52:05.502000+00:00,0.22290000000000054,0.0956999999999999
823119,yes,walk,2026-07-03 03:21:04.546175+00:00,2026-07-03 03:25:07.759246+00:00,timeout,0.8,0.7699999999999999,3.08,0.8748414798331977,0.7570304308437753,43,9,2026-07-03 03:20:58.886000+00:00,-0.16510000000000025,0.07269999999999976
823120,yes,single,2026-07-04 02:41:53.148337+00:00,2026-07-04 02:42:49.754077+00:00,reversion,0.32,0.29,7.45,0.4134076420334515,0.3170539394584826,14,2,2026-07-04 02:41:16.276000+00:00,-0.44440000000000035,0.22090000000000032
823121,no,field_error,2026-06-30 02:35:01.409464+00:00,2026-06-30 02:35:46.479760+00:00,reversion,0.49,0.4799999999999999,4.92,0.5404297609233755,0.37155195028598814,29,2,2026-06-30 02:34:26.131000+00:00,-0.22130000000000072,0.17210000000000036
823122,yes,single,2026-07-01 03:19:59.863058+00:00,2026-07-01 03:20:29.105876+00:00,reversion,0.8,0.85,3.08,0.8855396294051482,0.8121465324976739,44,4,2026-07-01 03:19:49.298000+00:00,0.09199999999999964,0.06199999999999983
823122,no,single,2026-07-01 03:57:32.412084+00:00,2026-07-01 04:01:33.783784+00:00,timeout,0.22,0.1,10.77,0.7111464884893236,0.7374682639955306,56,4,2026-07-01 03:57:29.114000+00:00,-1.4897000000000002,0.19730000000000047
823200,yes,single,2026-07-11 05:41:16.442684+00:00,2026-07-11 05:45:06.115012+00:00,reversion,0.22,0.32,10.77,0.31727732377385465,0.004951654630059407,81,5,2026-07-11 05:41:10.250000+00:00,0.7835000000000001,0.2935000000000003
823200,no,walk,2026-07-11 05:50:24.674714+00:00,2026-07-11 05:53:04.874901+00:00,reversion,0.67,0.98,3.64,0.2335269120561246,0.004667963614389411,83,7,2026-07-11 05:50:22.164000+00:00,1.0670000000000002,0.0613999999999999
823203,no,walk,2026-07-08 01:49:11.951148+00:00,2026-07-08 01:49:18.246160+00:00,reversion,0.52,0.51,4.65,0.38211445415080186,0.27795035046183736,2,5,2026-07-08 01:48:36.717000+00:00,-0.2091999999999996,0.16269999999999962
823204,yes,single,2026-06-28 21:26:47.705396+00:00,2026-06-28 21:28:46.513224+00:00,reversion,0.73,0.82,3.36,0.8160104539909468,0.7813515389346732,43,2,2026-06-28 21:26:34.177000+00:00,0.22119999999999962,0.08120000000000038
823357,no,walk,2026-07-11 18:52:57.657123+00:00,,settlement,0.56,,4.33,0.36162938214931173,0.5787042421797386,76,6,2026-07-11 18:52:33.728000+00:00,-2.4995,0.07469999999999954
823437,no,single,2026-07-22 00:12:58.142896+00:00,2026-07-22 00:13:27.285011+00:00,reversion,0.39,0.39,6.14,0.656665339656087,0.6194762048834942,7,2,2026-07-22 00:12:34.487000+00:00,-0.20460000000000012,0.20460000000000012
823445,yes,single,2026-06-30 23:13:35.589704+00:00,2026-06-30 23:15:53.231962+00:00,reversion,0.77,0.8200000000000001,3.19,0.8581634568029668,0.7697248117371744,15,7,2026-06-30 23:12:59.657000+00:00,0.0869000000000002,0.07259999999999978
823446,yes,fielders_choice,2026-07-01 23:18:53.038528+00:00,2026-07-01 23:19:52.188428+00:00,reversion,0.81,0.9399999999999998,3.04,0.8883482808218892,0.8179276440497416,17,2,2026-07-01 23:18:38.296000+00:00,0.3502999999999994,0.04490000000000016
823525,yes,single,2026-07-05 19:08:36.860682+00:00,2026-07-05 19:10:31.527384+00:00,reversion,0.11,0.11,21.39,0.1092317725730359,0.04771409141943639,37,3,2026-07-05 19:08:23.869000+00:00,-0.2932999999999999,0.2932999999999999
823529,yes,single,2026-06-29 23:45:52.274528+00:00,2026-06-29 23:49:53.594580+00:00,timeout,0.12,0.11000000000000001,19.62,0.12401551290080418,0.08808716546537576,17,4,2026-06-29 23:45:29.629000+00:00,-0.4757999999999991,0.2795999999999994
823605,no,single,2026-07-09 00:45:16.801974+00:00,2026-07-09 00:49:26.822868+00:00,timeout,0.39,0.3499999999999999,6.14,0.5266074125246928,0.4211040140112893,43,9,2026-07-09 00:45:10.385000+00:00,-0.4457000000000009,0.2001000000000004
