game_pk,side,event_type,entry_time,exit_time,exit_reason,entry_price,exit_price,contracts,anchor_target,anchor_fair,trigger_at_bat,trigger_pitch,trigger_event_time,pnl,fees
822708,no,single,2026-07-12 18:53:20.784600+00:00,2026-07-12 18:57:22.546577+00:00,timeout,0.58,0.6,4.18,0.3387942574813601,0.27181369700255875,33,3,2026-07-12 18:53:16.707000+00:00,-0.05800000000000072,0.1416000000000004
822708,yes,triple,2026-07-12 19:59:03.780501+00:00,2026-07-12 20:03:06.665660+00:00,timeout,0.28,0.27,8.5,0.5380959016530903,0.09271278041720121,59,6,2026-07-12 19:58:59.925000+00:00,-0.32230000000000025,0.23729999999999984
822711,no,home_run,2026-07-11 20:19:36.386873+00:00,2026-07-11 20:20:20.822821+00:00,reversion,0.49,0.49,4.92,0.5495708860951158,0.6147214810369949,6,1,2026-07-11 20:19:26.855000+00:00,-0.17220000000000013,0.17220000000000013
822876,yes,single,2026-07-12 21:27:06.783618+00:00,2026-07-12 21:28:02.175361+00:00,reversion,0.37,0.6,5.0,0.4822040645521284,0.01099751402671556,73,3,2026-07-12 21:27:02.538000+00:00,0.9843999999999999,0.16559999999999997
822876,no,single,2026-07-12 21:35:17.890804+00:00,,settlement,0.1,,5.0,0.8421848718177479,0.02345889440036376,78,5,2026-07-12 21:35:11.310000+00:00,-0.5315,0.03149999999999997
822878,no,home_run,2026-07-11 02:22:40.335942+00:00,2026-07-11 02:26:41.205330+00:00,timeout,0.17,0.029999999999999995,13.89,0.7686440750044259,0.7768593804932514,60,2,2026-07-11 02:22:27.051000+00:00,-2.1102,0.16559999999999958
823033,no,home_run,2026-07-11 05:13:26.765172+00:00,2026-07-11 05:17:28.048928+00:00,timeout,0.14,0.17,16.84,0.7686440750044259,0.7730615540953822,56,5,2026-07-11 05:13:23.395000+00:00,0.19680000000000009,0.3083999999999998
823036,no,double,2026-07-07 01:45:46.275035+00:00,2026-07-07 01:46:15.951009+00:00,reversion,0.49,0.61,4.92,0.39396922705850096,0.3562534920495466,53,8,2026-07-07 01:45:42.798000+00:00,0.42229999999999945,0.16810000000000036
823036,no,single,2026-07-07 01:52:17.227264+00:00,2026-07-07 01:52:23.572208+00:00,reversion,0.69,0.78,3.54,0.2242337776963125,0.10229520276158799,56,1,2026-07-07 01:52:05.502000+00:00,0.22290000000000054,0.0956999999999999
823119,yes,walk,2026-07-03 03:21:01.824675+00:00,2026-07-03 03:25:03.812529+00:00,timeout,0.81,0.77,0.25,0.8748414798331977,0.7570304308437753,43,9,2026-07-03 03:20:58.886000+00:00,-0.01579999999999998,0.005799999999999972
823122,yes,single,2026-07-01 03:19:59.863058+00:00,2026-07-01 03:20:29.105876+00:00,reversion,0.8,0.85,3.08,0.8855396294051482,0.8121465324976739,44,4,2026-07-01 03:19:49.298000+00:00,0.09199999999999964,0.06199999999999983
823122,no,single,2026-07-01 03:57:32.412084+00:00,2026-07-01 04:01:33.783784+00:00,timeout,0.22,0.1,10.77,0.7111464884893236,0.7374682639955306,56,4,2026-07-01 03:57:29.114000+00:00,-1.4897000000000002,0.19730000000000047
823200,yes,single,2026-07-11 05:41:16.442684+00:00,2026-07-11 05:45:06.115012+00:00,reversion,0.21,0.32,5.0,0.31727732377385465,0.004951654630059407,81,5,2026-07-11 05:41:10.250000+00:00,0.4157000000000002,0.13429999999999986
823200,no,walk,2026-07-11 05:50:24.961007+00:00,2026-07-11 05:53:04.874901+00:00,reversion,0.67,0.98,3.64,0.2335269120561246,0.004667963614389411,83,7,2026-07-11 05:50:22.164000+00:00,1.0670000000000002,0.0613999999999999
823204,yes,single,2026-06-28 21:26:47.965606+00:00,2026-06-28 21:28:46.513224+00:00,reversion,0.74,0.82,3.31,0.8160104539909468,0.7813515389346732,43,2,2026-06-28 21:26:34.177000+00:00,0.1859999999999995,0.07880000000000065
823205,yes,triple,2026-07-07 01:52:54.467047+00:00,2026-07-07 01:58:12.878452+00:00,timeout,0.58,0.6,0.13,0.6593794421568347,0.6140585692969087,5,2,2026-07-07 01:52:51.149000+00:00,-0.001899999999999999,0.004500000000000004
823446,yes,fielders_choice,2026-07-01 23:18:53.038528+00:00,2026-07-01 23:19:52.188428+00:00,reversion,0.81,0.9399999999999998,3.04,0.8883482808218892,0.8179276440497416,17,2,2026-07-01 23:18:38.296000+00:00,0.3502999999999994,0.04490000000000016
823523,yes,double,2026-07-19 19:19:47.928140+00:00,2026-07-19 19:24:05.658752+00:00,reversion,0.47,0.46,4.08,0.6279621082492041,0.010359917884654147,65,6,2026-07-19 19:19:31.964000+00:00,-0.18299999999999983,0.14219999999999988
823525,yes,single,2026-07-05 19:08:35.257853+00:00,2026-07-05 19:10:27.654256+00:00,reversion,0.11,0.11,8.0,0.1092317725730359,0.04771409141943639,37,3,2026-07-05 19:08:23.869000+00:00,-0.1097999999999999,0.1097999999999999
823605,no,single,2026-07-09 00:45:15.594622+00:00,2026-07-09 00:49:26.822868+00:00,timeout,0.39,0.35,1.0,0.5266074125246928,0.4211040140112893,43,9,2026-07-09 00:45:10.385000+00:00,-0.07270000000000004,0.03270000000000001
823681,no,single,2026-07-12 19:33:58.181205+00:00,2026-07-12 19:34:01.435460+00:00,reversion,0.24,0.37,5.0,0.6383815713123152,0.5496232340848053,42,3,2026-07-12 19:33:52.090000+00:00,0.5045000000000002,0.14549999999999996
