dataset_version,atomic_play_input,game_pk,game_date,home_win,trigger_at_bat,trigger_pitch,trigger_time,signal_time,next_update_time,market_home_price,market_logit,local_fair_after,local_fair_before,fair_logit_move,market_logit_move,anchored_state_target,market_target_residual,anchor_age_seconds,observation_delay_seconds,inning_after,inning_topbot_after,outs_when_up_after,score_diff_after,balls_after,strikes_after,runner_on_first_after,runner_on_second_after,runner_on_third_after,delta_inning,delta_outs,delta_score_diff,delta_balls,delta_strikes,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,pre_trade_count_2s,pre_volume_2s,pre_flow_imbalance_2s,pre_price_volatility_2s,future_market_price,future_market_seconds,future_logit_move,fair_probability,model_side,side,execution_contract,fill_time,fill_price,contracts,entry_fee,predicted_expected_pnl,pnl,exit_reason,exit_time,exit_price,exit_fee,evaluation_fold
1,True,822747,2026-04-21,1,43,4,2026-04-22 00:20:36.993000+00:00,2026-04-22 00:20:42.539860+00:00,2026-04-22 00:21:07.332000+00:00,0.59,0.3639653772014115,0.5245657396218523,0.47320001684580637,0.20564490911252514,-0.08334684084225336,0.6576765347773694,-0.06767653477736946,1.678456,5.54686,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,4.23517,0.0,0.6162005533214336,yes,yes,home_yes,2026-04-22 00:20:44.041118+00:00,0.59,3.29,0.05580000000000007,0.03039982042751671,1.2931000000000001,,,,,april
1,True,822748,2026-04-22,0,27,2,2026-04-22 23:33:28.810000+00:00,2026-04-22 23:33:32.201250+00:00,2026-04-22 23:33:49.872000+00:00,0.33,-0.7081850579244856,0.2852911789876008,0.4176194493710569,-0.58581138557693,0.0,0.21517713947420689,0.11482286052579313,4.108564,3.39125,3.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,4.619584,-0.04558674445189448,0.29033692369077946,no,away_yes,away_yes,2026-04-22 23:33:32.373609+00:00,0.68,2.87,0.04379999999999984,0.04133302900746298,0.8746,,,,,april
1,True,822749,2026-04-20,0,25,5,2026-04-20 23:34:31.115000+00:00,2026-04-20 23:34:33.535513+00:00,2026-04-20 23:34:50.221000+00:00,0.46,-0.16034265007517937,0.31062840528029745,0.5389243466663262,-0.9531961566897942,0.12150850206580852,0.22529924971819643,0.2347007502818036,0.677458,2.420513,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,4.850461,-0.04032804538697188,0.4087944298755483,no,away_yes,away_yes,2026-04-20 23:34:35.088757+00:00,0.56,3.46,0.059699999999999864,0.04827127263060259,1.4627,,,,,april
1,True,822749,2026-04-20,0,40,2,2026-04-21 00:02:01.835000+00:00,2026-04-21 00:02:03.094494+00:00,2026-04-21 00:02:39.603000+00:00,0.26,-1.0459685551826876,0.09980531133078752,0.25181805947688674,-1.110450315185426,0.0,0.10373292553134514,0.15626707446865487,0.10712,1.259494,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-1.0,5.0,19.0,-1.0,0.012649110640673514,0.28,4.904291,0.10150694634183643,0.2237127207522224,no,away_yes,away_yes,2026-04-21 00:02:05.985703+00:00,0.73,2.68,0.03699999999999992,0.08704990838404418,0.6866000000000001,,,,,april
1,True,822750,2026-04-19,1,40,6,2026-04-19 19:02:38.148000+00:00,2026-04-19 19:02:40.249841+00:00,2026-04-19 19:03:21.318000+00:00,0.66,0.6632942174102643,0.7039844090520834,0.5171110736368402,0.7978730516486827,-0.18400364297693916,0.8382373168061475,-0.17823731680614752,0.631982,2.101841,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.837027,0.18400364297693916,0.7100713763322285,yes,yes,home_yes,2026-04-19 19:02:42.138983+00:00,0.67,2.91,0.045099999999999696,0.07150770512678513,0.9152000000000002,,,,,april
1,True,822751,2026-04-18,0,13,3,2026-04-18 20:34:45.015000+00:00,2026-04-18 20:34:46.087263+00:00,2026-04-18 20:35:44.174000+00:00,0.63,0.5322168137473082,0.4229013345582888,0.5675978739281242,-0.5829315458792258,0.3718741636721288,0.39589741637762815,0.23410258362237185,0.465848,1.072263,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,1.0,-1.0,0.0,4.0,156.7,-0.2763241863433312,0.004330127018922197,0.56,4.715469,-0.29105475693042,0.5727309029783281,no,away_yes,away_yes,2026-04-18 20:34:46.694621+00:00,0.4,4.79,0.0804999999999998,0.050118974733808636,2.7935,,,,,april
1,True,822751,2026-04-18,0,101,1,2026-04-18 23:35:29.006000+00:00,2026-04-18 23:35:30.697911+00:00,2026-04-18 23:35:59.827000+00:00,0.34,-0.663294217410264,0.0024061937567098407,0.003729731662496445,-0.4396177569342248,-0.13107740366295573,0.2745149844194558,0.0654850155805442,0.683061,1.691911,12.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.0,0.0,0.3,4.86845,-0.1840036429769396,0.31855966320461404,no,away_yes,away_yes,2026-04-18 23:35:30.732758+00:00,0.6,3.24,0.05449999999999999,0.2093666912170506,1.2415000000000003,,,,,april
1,True,822752,2026-04-17,0,10,4,2026-04-17 23:03:04.268000+00:00,2026-04-17 23:03:05.409141+00:00,2026-04-17 23:03:32.881000+00:00,0.22,-1.2656663733312759,0.1293003739675742,0.3068888275606009,-1.092454026791466,-0.057355167406741625,0.09105960459910255,0.12894039540089747,0.515656,1.141141,2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.19,3.877215,-0.18434380217472257,0.18436036850752688,no,away_yes,away_yes,2026-04-17 23:03:05.409453+00:00,0.79,2.49,0.028999999999999693,0.03484268241625822,0.4939000000000002,,,,,april
1,True,822753,2026-04-08,0,17,2,2026-04-08 20:35:40.652000+00:00,2026-04-08 20:35:41.943719+00:00,2026-04-08 20:36:54.580000+00:00,0.34,-0.663294217410264,0.18270076381983602,0.3742005781659412,-0.983917697408423,-0.044255009004040446,0.16756875212464295,0.17243124787535707,0.331571,1.291719,2.0,0.0,2.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-1.0,1.0,7.0,-1.0,0.0,0.29,4.904133,-0.23208982964457736,0.2953903854171284,no,away_yes,away_yes,2026-04-08 20:35:43.228553+00:00,0.68,2.87,0.04379999999999984,0.026829593852841296,0.8746,,,,,april
1,True,822753,2026-04-08,0,37,8,2026-04-08 21:20:54.149000+00:00,2026-04-08 21:20:56.227083+00:00,2026-04-08 21:21:19.663000+00:00,0.28,-0.9444616088408512,0.13891054722402052,0.22574043596157767,-0.5918468666191887,0.0,0.17707255475537848,0.10292744524462155,2.375188,2.078083,5.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,3.015152,-0.10150694634183643,0.23889270984135705,no,away_yes,away_yes,2026-04-08 21:20:56.503032+00:00,0.73,2.68,0.03699999999999992,0.04636753762516331,0.6866000000000001,,,,,april
