minimum_expected_pnl,minimum_probability_edge,side_filter,execution_contract,maximum_positions_per_game,trades,yes_trades,no_trades,pnl,fees,capital,roi,pnl_without_best_game,profitable_game_fraction,fold_1_trades,fold_1_yes_trades,fold_1_no_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_yes_trades,fold_2_no_trades,fold_2_pnl,fold_2_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
3.0,0.125,both,paired_both,0,12,9,3,28.27501053905543,4.3100000000000005,124.31,0.22745563944216418,6.506946022926396,0.5833333333333334,5,4,1,42.81141911474679,0.8242475763332073,7,5,2,-14.536408575691365,-0.2008623542309156,5,1,-0.2008623542309156
3.0,0.15,both,paired_both,0,10,7,3,16.956946022926395,3.37,103.36999999999999,0.16404126944883812,4.629673295653669,0.6,4,3,1,21.043354598617757,0.5076804487000665,6,4,2,-4.086408575691364,-0.06599497053765123,4,1,-0.06599497053765123
2.25,0.15,both,paired_both,0,30,20,10,48.43914289644507,8.93,308.92999999999995,0.15679650049022456,35.5833289429567,0.6896551724137931,12,9,3,33.959417604544605,0.27473034224208887,18,11,7,14.479725291900449,0.07813363528977146,12,2,0.07813363528977146
2.5,0.15,both,paired_both,0,24,16,8,37.29596187569133,7.539999999999998,247.54000000000002,0.15066640492724945,24.44014792220296,0.6521739130434783,11,9,2,35.856893282988025,0.31586410573456686,13,7,6,1.4390685927032987,0.010737715211933284,11,2,0.010737715211933284
2.75,0.15,both,paired_both,0,20,14,6,29.872059829534606,6.4799999999999995,206.48000000000002,0.1446728972759328,17.016245876046234,0.631578947368421,9,8,1,24.326433859782124,0.2616871112282931,11,6,5,5.54562596975248,0.048851532503105005,9,2,0.048851532503105005
2.5,0.1,both,paired_both,0,29,21,8,42.868553895850404,9.76,299.75999999999993,0.14300958732269287,14.459304646601154,0.625,12,10,2,61.3703548683645,0.49468285400906414,17,11,6,-18.501800972514094,-0.10530336353166815,12,1,-0.10530336353166815
2.5,0.125,both,paired_both,0,27,19,8,38.65656108192211,8.899999999999999,278.8999999999999,0.13860366110405925,16.88849656579308,0.625,11,9,2,46.72836205443621,0.4112326151054846,16,10,6,-8.071800972514092,-0.04884008575370056,11,1,-0.04884008575370056
2.25,0.125,both,paired_both,0,42,29,13,38.578293664399816,13.36,433.35999999999984,0.08902135329610446,16.810229148270782,0.6470588235294118,16,12,4,44.73238297463225,0.2710068034328865,26,17,9,-6.154089310232441,-0.02293734368331137,16,1,-0.02293734368331137
2.75,0.125,both,paired_both,0,22,16,6,19.873528600982787,7.46,227.45999999999998,0.08737153170220166,-1.8945359151462462,0.6,9,8,1,35.197902631230306,0.37818741411013546,13,8,5,-15.324374030247522,-0.1140291244158607,9,1,-0.1140291244158607
2.0,0.15,both,paired_both,0,41,29,12,25.089936110718725,11.490000000000004,421.48999999999995,0.0595267648359836,12.234122157230354,0.6486486486486487,20,15,5,27.431845793751542,0.1334947967966886,21,14,7,-2.341909683032819,-0.010842174458485272,20,1,-0.010842174458485272
2.25,0.1,both,paired_both,0,43,30,13,26.213259451301084,13.77,443.76999999999987,0.05906947168871508,6.380229148270782,0.6470588235294118,16,12,4,42.79734876153352,0.2593150070378909,27,18,9,-16.584089310232443,-0.059498759768350895,16,1,-0.059498759768350895
2.0,0.125,both,paired_both,0,63,44,19,35.950803649291686,18.89999999999999,648.9000000000002,0.055402687084745994,14.182739133162652,0.6595744680851063,28,19,9,30.727703071026504,0.10666008216538757,35,25,10,5.223100578265186,0.014476041623749858,28,2,0.014476041623749858
2.75,0.1,both,paired_both,0,23,17,6,7.288494387884059,8.09,238.09,0.030612349900810867,-12.544535915146243,0.5714285714285714,9,8,1,33.262868418131575,0.35747306198959244,14,9,5,-25.974374030247517,-0.1790842114606144,9,1,-0.1790842114606144
2.0,0.1,both,paired_both,0,71,50,21,18.154517496820713,22.049999999999994,732.0500000000002,0.02479955945197829,-4.57430047008236,0.6346153846153846,30,20,10,8.042668857927774,0.026043225367294132,41,30,11,10.111848638892935,0.02389208855443361,30,2,0.02389208855443361
3.0,0.1,both,paired_both,0,15,12,3,-5.380023674043301,6.01,156.01,-0.034485120659209674,-25.213053977073603,0.4666666666666667,5,4,1,40.87638490164806,0.7872955489531598,10,8,2,-46.25640857569137,-0.4443885923305924,5,1,-0.4443885923305924
