enabled,minimum_probability_residual,minimum_reversion_probability,trailing_giveback_fraction,trailing_activation_multiple,second_target_multiple,adverse_state_probability_move,minimum_runner_contracts,trades,scaled_reversions,full_reversion_exits,runner_target_exits,runner_trailing_exits,runner_state_exits,runner_settlements,full_settlements,fees,capital,pnl,roi
False,0.1,0.8,0.35,0.25,1.5,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,1.5,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,2.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,2.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,3.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.35,0.25,3.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,1.5,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,1.5,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,2.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,2.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,3.0,0.02,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.1,0.8,0.5,0.25,3.0,0.05,0.1,1,1,0,0,1,0,0,0,0.28,10.18,1.6227715355805241,0.1594078129253953
False,0.05,0.9,0.35,0.25,1.5,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,1.5,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,2.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,2.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,3.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.35,0.25,3.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,1.5,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,1.5,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,2.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,2.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,3.0,0.02,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
False,0.05,0.9,0.5,0.25,3.0,0.05,0.1,2,2,0,0,0,1,1,0,0.55,20.33,1.9797332244453525,0.09737989298796619
