minimum_edge,max_hold_minutes,trades,yes_trades,no_trades,fees,capital,pnl,roi
0.04,8.0,407,178,229,276.45,4216.709999999997,-452.66300478394766,-0.1073498070258443
0.05,2.0,373,172,201,260.7899999999996,3865.3199999999956,-415.8124691858725,-0.10757517338431824
0.075,3.0,219,109,110,152.0499999999999,2269.7799999999993,-246.00758962883182,-0.10838389166740033
0.025,2.0,690,321,369,493.6700000000004,7155.670000000006,-776.6738519621459,-0.10853964086691327
0.05,3.0,360,164,196,248.39999999999972,3729.939999999996,-407.32276200762277,-0.10920356949645925
0.04,2.0,460,203,257,321.2700000000001,4766.200000000001,-521.1172314258997,-0.10933599752966716
0.025,8.0,593,282,311,419.50000000000034,6151.290000000006,-681.7980142669735,-0.11083821674266256
0.025,5.0,627,296,331,446.4600000000004,6504.550000000008,-722.0849171167076,-0.11101227865366654
0.03,2.0,590,271,319,421.14000000000027,6118.460000000004,-679.6914604214527,-0.11108864982715459
0.04,3.0,445,196,249,305.5200000000002,4609.57,-513.1409454845709,-0.11132078382247605
0.025,3.0,667,311,356,472.8100000000005,6916.700000000008,-774.4022718111481,-0.11196123466554098
0.03,8.0,510,236,274,357.29,5288.890000000006,-594.5405769100547,-0.11241311067351638
0.02,2.0,775,367,408,550.4799999999999,8035.520000000007,-904.001715264415,-0.11250071125010133
0.03,5.0,538,249,289,379.2800000000002,5579.640000000006,-628.713955662027,-0.11268002158956965
0.05,5.0,346,156,190,236.17999999999998,3585.4299999999967,-404.42416231676594,-0.1127965578234037
0.04,5.0,426,185,241,290.09000000000003,4413.489999999999,-498.26330033416883,-0.11289553172980316
0.025,10.0,577,273,304,406.1600000000004,5985.450000000008,-679.3236436993144,-0.11349583468232355
0.03,3.0,571,263,308,402.83000000000055,5920.490000000004,-679.4369214596654,-0.1147602515095313
0.03,10.0,497,229,268,345.80000000000007,5154.000000000006,-591.7060934737336,-0.11480521798093382
0.015,2.0,890,430,460,628.2799999999995,9226.610000000008,-1062.827856069562,-0.11519158781714639
0.075,5.0,215,106,109,144.84999999999994,2227.9100000000003,-257.9691888808862,-0.11578977107732635
0.05,8.0,332,150,182,223.3199999999997,3440.179999999997,-399.5918823233837,-0.1161543530639048
0.04,10.0,398,172,226,266.6199999999997,4123.179999999997,-481.9293813237375,-0.11688293533722464
0.015,3.0,857,415,442,599.9299999999994,8883.720000000016,-1046.7689539805783,-0.11783002548263301
0.02,3.0,746,354,392,526.4300000000004,7735.430000000006,-912.5358456823103,-0.11796834121468484
0.01,2.0,965,471,494,682.02,10005.400000000005,-1187.3206739550128,-0.11866798668269257
0.02,5.0,695,336,359,492.85000000000036,7209.970000000002,-862.1976125223782,-0.11958407767610378
0.075,2.0,222,111,111,155.19999999999993,2300.7799999999997,-276.92944350380196,-0.1203632870173602
0.015,8.0,750,373,377,527.2700000000003,7779.080000000008,-936.5678501536063,-0.12039570876679573
0.01,3.0,927,454,473,649.3,9610.160000000007,-1159.2469261917201,-0.12062722433255214
0.015,5.0,800,394,406,561.4699999999999,8296.400000000007,-1001.9114774146286,-0.12076460602365216
0.02,8.0,655,318,337,461.1900000000005,6794.810000000004,-823.5734394683258,-0.1212062499861402
0.075,8.0,206,103,103,136.5699999999999,2134.510000000001,-259.3107104115439,-0.12148488899632409
0.01,8.0,805,403,402,566.6500000000004,8350.12000000001,-1018.6152704120841,-0.12198809962157225
0.01,5.0,863,428,435,607.4299999999996,8950.950000000017,-1091.9712682751926,-0.12199501374437245
0.02,10.0,637,307,330,445.7700000000006,6608.110000000005,-825.3979608290111,-0.12490681311736798
