minimum_expected_pnl,minimum_probability_edge,side_filter,trades,yes_trades,no_trades,pnl,fees,capital,roi,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.0,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
0.25,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
0.5,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
1.0,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
1.5,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
2.0,0.15,no,12,0,12,126.68885481111631,4.88,124.88,1.0144847438430198,6,72.43693402942571,1.1619655763462577,5,24.781920781690598,0.47648376815402027,1,29.47,2.798670465337132,1,3,0.47648376815402027
2.0,0.1,no,20,0,20,171.1637460222321,7.809999999999999,207.80999999999997,0.8236550022724225,6,69.36015007446443,1.1142192783046494,9,52.465533016909724,0.5610086935084444,5,49.33806293085796,0.9480796105084158,5,3,0.5610086935084444
2.0,0.075,no,21,0,21,178.50732325800448,8.19,218.18999999999997,0.818127885136828,6,69.36015007446443,1.1142192783046494,9,52.465533016909724,0.5610086935084444,6,56.681640166630324,0.9080685704362436,6,3,0.5610086935084444
1.5,0.1,no,29,0,29,201.43569039812698,10.52,300.52,0.6702904645219186,8,69.94674581914528,0.8433415218126992,9,51.069508061473,0.5462563703227403,12,80.41943651750874,0.648073466979682,8,3,0.5462563703227403
2.0,0.03,no,28,0,28,195.20641416709532,12.4,292.4,0.6676005956467008,9,37.60015007446443,0.3999590477019937,11,122.11462392600066,1.063901584997392,8,35.491640166630326,0.42449037395802325,8,3,0.3999590477019937
2.0,0.04,no,28,0,28,195.20641416709532,12.4,292.4,0.6676005956467008,9,37.60015007446443,0.3999590477019937,11,122.11462392600066,1.063901584997392,8,35.491640166630326,0.42449037395802325,8,3,0.3999590477019937
2.0,0.02,no,29,0,29,184.50641416709533,13.1,303.09999999999997,0.6087311585849401,9,37.60015007446443,0.3999590477019937,11,122.11462392600066,1.063901584997392,9,24.791640166630323,0.2628739281797299,9,3,0.2628739281797299
