reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.5,next_plate_appearance,0.3,7.0,9,no,7,18.438735177865606,70.0,0.26341050254093723,1,0,1,3,18.22134387351778,0.6073781291172594,3,0.21739130434782508,0.007246376811594169,1,0.0,0.0,1,2,0.0
0.5,next_plate_appearance,0.3,7.0,99,no,7,18.438735177865606,70.0,0.26341050254093723,1,0,1,3,18.22134387351778,0.6073781291172594,3,0.21739130434782508,0.007246376811594169,1,0.0,0.0,1,2,0.0
0.75,next_plate_appearance,0.3,7.0,9,no,7,18.438735177865606,70.0,0.26341050254093723,1,0,1,3,18.22134387351778,0.6073781291172594,3,0.21739130434782508,0.007246376811594169,1,0.0,0.0,1,2,0.0
0.75,next_plate_appearance,0.3,7.0,99,no,7,18.438735177865606,70.0,0.26341050254093723,1,0,1,3,18.22134387351778,0.6073781291172594,3,0.21739130434782508,0.007246376811594169,1,0.0,0.0,1,2,0.0
0.5,none,0.3,7.0,9,no,7,16.669038208168637,70.0,0.23812911725955196,1,0,6,3,19.019762845849797,0.6339920948616599,3,-2.2173913043478266,-0.07391304347826089,1,-0.13333333333333347,-0.013333333333333346,1,1,-0.07391304347826089
0.5,none,0.3,7.0,99,no,7,16.669038208168637,70.0,0.23812911725955196,1,0,6,3,19.019762845849797,0.6339920948616599,3,-2.2173913043478266,-0.07391304347826089,1,-0.13333333333333347,-0.013333333333333346,1,1,-0.07391304347826089
0.75,none,0.3,7.0,9,no,7,16.669038208168637,70.0,0.23812911725955196,1,0,6,3,19.019762845849797,0.6339920948616599,3,-2.2173913043478266,-0.07391304347826089,1,-0.13333333333333347,-0.013333333333333346,1,1,-0.07391304347826089
0.75,none,0.3,7.0,99,no,7,16.669038208168637,70.0,0.23812911725955196,1,0,6,3,19.019762845849797,0.6339920948616599,3,-2.2173913043478266,-0.07391304347826089,1,-0.13333333333333347,-0.013333333333333346,1,1,-0.07391304347826089
0.25,next_plate_appearance,0.3,10.0,9,no,11,20.778604458911364,110.0,0.1888964041719215,6,0,0,6,15.561213154563537,0.25935355257605897,3,2.2173913043478244,0.07391304347826082,2,3.0,0.15,2,3,0.07391304347826082
0.25,next_plate_appearance,0.3,10.0,99,no,11,20.778604458911364,110.0,0.1888964041719215,6,0,0,6,15.561213154563537,0.25935355257605897,3,2.2173913043478244,0.07391304347826082,2,3.0,0.15,2,3,0.07391304347826082
0.25,next_pitch,0.3,10.0,6,no,5,9.307861220904702,50.0,0.18615722441809404,2,0,2,2,8.525252525252528,0.4262626262626264,2,-0.21739130434782628,-0.010869565217391314,1,1.0000000000000009,0.10000000000000009,1,2,-0.010869565217391314
0.25,none,0.2,7.0,6,yes,2,3.7019969278033793,20.0,0.18509984639016897,1,0,1,1,3.2258064516129026,0.32258064516129026,1,0.4761904761904766,0.04761904761904766,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.2,7.0,6,yes,2,3.7019969278033793,20.0,0.18509984639016897,1,0,0,1,3.2258064516129026,0.32258064516129026,1,0.4761904761904766,0.04761904761904766,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.3,10.0,6,no,5,9.197189284145807,50.0,0.18394378568291614,2,0,0,2,7.979797979797981,0.39898989898989906,2,0.21739130434782508,0.010869565217391254,1,1.0000000000000009,0.10000000000000009,1,3,0.010869565217391254
0.25,none,0.3,10.0,6,no,5,9.126043039086518,50.0,0.18252086078173035,2,0,3,2,8.343434343434346,0.4171717171717173,2,-0.21739130434782628,-0.010869565217391314,1,1.0000000000000009,0.10000000000000009,1,2,-0.010869565217391314
1.0,next_plate_appearance,0.3,7.0,9,no,9,14.093298006341483,90.0,0.15659220007046093,2,0,1,3,13.221343873517787,0.4407114624505929,4,0.6521739130434765,0.01630434782608691,2,0.21978021978021997,0.010989010989010999,2,3,0.010989010989010999
1.0,next_plate_appearance,0.3,7.0,99,no,9,14.093298006341483,90.0,0.15659220007046093,2,0,1,3,13.221343873517787,0.4407114624505929,4,0.6521739130434765,0.01630434782608691,2,0.21978021978021997,0.010989010989010999,2,3,0.010989010989010999
0.25,none,0.3,10.0,9,no,11,17.024593763724198,110.0,0.15476903421567453,5,0,6,6,16.241985068072026,0.27069975113453376,3,-2.2173913043478266,-0.07391304347826089,2,3.0,0.15,2,2,-0.07391304347826089
0.25,none,0.3,10.0,99,no,11,17.024593763724198,110.0,0.15476903421567453,5,0,6,6,16.241985068072026,0.27069975113453376,3,-2.2173913043478266,-0.07391304347826089,2,3.0,0.15,2,2,-0.07391304347826089
0.25,none,0.04,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,1,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,none,0.08,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,1,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,none,0.12,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,1,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,none,0.16,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,1,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.04,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,0,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
0.25,next_plate_appearance,0.08,7.0,6,yes,3,4.611087836894288,30.0,0.15370292789647624,2,0,0,1,3.2258064516129026,0.32258064516129026,2,1.3852813852813852,0.06926406926406926,0,0.0,0.0,0,2,0.0
