minimum_logit_residual,minimum_reversion_probability,minimum_expected_pnl,trades,rejected,reversion_exits,adverse_stop_exits,timeout_exits,settlements,fees,capital,pnl,roi,minimum_trades
0.3,0.4,-1.0,2.0,3575.0,1.0,1.0,0.0,0.0,0.95,20.52,2.0954545454545466,0.10211766790714165,1
0.3,0.3,-0.1,9.0,3566.0,1.0,4.0,3.0,1.0,2.9,91.56,2.564084262295072,0.028004415271898998,5
0.3,0.2,-0.1,15.0,3560.0,1.0,9.0,4.0,1.0,4.03,152.10999999999999,1.0334567998698567,0.006794141081256044,10
0.3,0.3,-1.0,24.0,3539.0,1.0,9.0,13.0,1.0,10.820000000000002,245.51999999999998,-0.36917166830033893,-0.001503631754237288,20
0.1,0.2,-0.1,34.0,3535.0,5.0,24.0,4.0,1.0,7.730000000000002,343.93,-3.1302202104969488,-0.009101329370793327,30
0.3,0.0,-0.1,60.0,3513.0,4.0,48.0,7.0,1.0,8.440000000000001,604.2299999999997,-7.27689496356077,-0.012043253336578413,50
0.1,0.1,-0.1,104.0,3462.0,9.0,85.0,9.0,1.0,14.899999999999997,1047.339999999999,-15.830514751112418,-0.015114971977688652,75
0.1,0.1,-0.1,104.0,3462.0,9.0,85.0,9.0,1.0,14.899999999999997,1047.339999999999,-15.830514751112418,-0.015114971977688652,100
0.04,0.0,-0.1,163.0,3402.0,13.0,131.0,18.0,1.0,20.629999999999992,1640.0799999999963,-25.842581911119854,-0.01575690326759665,150
0.04,0.0,-0.25,389.0,3113.0,62.0,235.0,91.0,1.0,74.58000000000001,3926.730000000002,-98.56174009210521,-0.02510020808461625,250
