inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
0.0,0,0,0,0.0,0.0,0.0,False,87625,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,0,0,0.0,0.0,0.0,False,84104,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1,0,0.0,0.0,0.0,True,11186,-0.006643251000092801,0.008678344837849147,-0.0,-0.02397835714428198,-0.0,0.0
1.0,0,1,0,0.0,0.0,0.0,True,10521,-0.0062699331371713195,0.007907211723814105,0.0,-0.02171932408541538,0.0,0.0
0.0,0,0,0,1.0,0.0,0.0,True,4099,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,0,0,1.0,0.0,0.0,True,4033,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,-2,0,0.0,0.0,0.0,True,2712,0.024988898249273573,0.018661712328004645,0.021797240717504107,-0.0027655582145502677,0.07669147500106333,0.9660766961651918
0.0,1,-2,0,0.0,0.0,0.0,True,2409,0.024321675897069916,0.01898604246052043,0.022689292096328195,-0.0016025158087678015,0.07868786270639416,0.9572436695724367
0.0,0,0,0,0.0,1.0,0.0,True,1716,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,0,0,0.0,1.0,0.0,True,1579,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,1,0,0.0,0.0,0.0,False,1252,-0.005597885686817486,0.007529465029390335,0.0,-0.02171932408541538,0.0,0.0
0.0,0,1,0,0.0,0.0,0.0,False,1219,-0.006670062371512892,0.008757419659712926,-0.0,-0.02397835714428198,-0.0,0.0
0.0,1,-2,0,-1.0,0.0,0.0,True,1128,0.024466583901723373,0.019540772677134745,0.022689292096328195,-0.0016025158087678015,0.07860863653601535,0.9485815602836879
1.0,0,-2,0,-1.0,0.0,0.0,True,1104,0.025055882527472435,0.01900354294590601,0.022040273734170363,-0.0027655582145502677,0.07669147500106333,0.9646739130434783
0.0,0,0,-1,0.0,0.0,0.0,True,782,0.09193643853517121,0.06540842297363486,0.10646836097600676,-0.0,0.21593860897275485,0.7902813299232737
1.0,0,0,1,0.0,0.0,0.0,True,752,0.08845952501342753,0.06130856312487401,0.10603669960701914,0.0,0.2239792504441085,0.7965425531914894
0.0,1,-2,0,0.0,-1.0,0.0,True,609,0.026575734473852773,0.020345863428249792,0.02511400443893108,-0.0016025158087678015,0.07868786270639416,0.9359605911330049
1.0,0,-2,0,0.0,-1.0,0.0,True,607,0.025857965825394753,0.019930788844842284,0.0242644177679614,-0.0027655582145502677,0.07447727770237045,0.957166392092257
0.0,0,0,0,-1.0,1.0,0.0,False,583,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.0,0,0,0,0.0,0.0,1.0,True,576,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,0,0,-1.0,1.0,0.0,False,562,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,0,0.0,0.0,1.0,True,557,0.0,0.0,0.0,0.0,0.0,0.0
