minimum_logit_residual,minimum_reversion_probability,minimum_expected_pnl,trades,rejected,reversion_exits,adverse_stop_exits,thesis_invalidations,timeout_exits,settlements,fees,capital,pnl,roi,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,profitable_folds,minimum_fold_trades,worst_fold_roi
0.2,0.3,-0.75,25,110,4,0,3,18,0,0.0,250.0,4.4877549053480115,0.017951019621392048,6,4.282949308755761,0.07138248847926268,9,-4.01147505761944,-0.04457194508466044,10,4.21628065421169,0.042162806542116904,2,6,-0.04457194508466044
0.2,0.0,-0.75,26,109,4,0,3,19,0,0.0,260.0,4.4877549053480115,0.017260595789800045,6,4.282949308755761,0.07138248847926268,10,-4.01147505761944,-0.040114750576194395,10,4.21628065421169,0.042162806542116904,2,6,-0.040114750576194395
0.2,0.05,-0.75,26,109,4,0,3,19,0,0.0,260.0,4.4877549053480115,0.017260595789800045,6,4.282949308755761,0.07138248847926268,10,-4.01147505761944,-0.040114750576194395,10,4.21628065421169,0.042162806542116904,2,6,-0.040114750576194395
0.2,0.1,-0.75,26,109,4,0,3,19,0,0.0,260.0,4.4877549053480115,0.017260595789800045,6,4.282949308755761,0.07138248847926268,10,-4.01147505761944,-0.040114750576194395,10,4.21628065421169,0.042162806542116904,2,6,-0.040114750576194395
0.2,0.15,-0.75,26,109,4,0,3,19,0,0.0,260.0,4.4877549053480115,0.017260595789800045,6,4.282949308755761,0.07138248847926268,10,-4.01147505761944,-0.040114750576194395,10,4.21628065421169,0.042162806542116904,2,6,-0.040114750576194395
0.2,0.2,-0.75,26,109,4,0,3,19,0,0.0,260.0,4.4877549053480115,0.017260595789800045,6,4.282949308755761,0.07138248847926268,10,-4.01147505761944,-0.040114750576194395,10,4.21628065421169,0.042162806542116904,2,6,-0.040114750576194395
0.3,0.3,-0.75,11,125,1,0,2,8,0,0.0,110.0,1.7848861283643893,0.016226237530585358,3,0.9999999999999996,0.03333333333333332,4,-1.081780538302277,-0.027044513457556922,4,1.866666666666667,0.046666666666666676,2,3,-0.027044513457556922
0.3,0.0,-0.75,12,124,1,0,2,9,0,0.0,120.0,1.7848861283643893,0.014874051069703244,3,0.9999999999999996,0.03333333333333332,5,-1.081780538302277,-0.02163561076604554,4,1.866666666666667,0.046666666666666676,2,3,-0.02163561076604554
0.3,0.05,-0.75,12,124,1,0,2,9,0,0.0,120.0,1.7848861283643893,0.014874051069703244,3,0.9999999999999996,0.03333333333333332,5,-1.081780538302277,-0.02163561076604554,4,1.866666666666667,0.046666666666666676,2,3,-0.02163561076604554
0.3,0.1,-0.75,12,124,1,0,2,9,0,0.0,120.0,1.7848861283643893,0.014874051069703244,3,0.9999999999999996,0.03333333333333332,5,-1.081780538302277,-0.02163561076604554,4,1.866666666666667,0.046666666666666676,2,3,-0.02163561076604554
0.3,0.15,-0.75,12,124,1,0,2,9,0,0.0,120.0,1.7848861283643893,0.014874051069703244,3,0.9999999999999996,0.03333333333333332,5,-1.081780538302277,-0.02163561076604554,4,1.866666666666667,0.046666666666666676,2,3,-0.02163561076604554
