minimum_edge,confirmation_seconds,observed_hits,eligible_hit_updates,rejected_fair_updates,invalidated_candidates,fresh_hit_anchors,confirmed_signals,trades,yes_trades,no_trades,reversion_exits,settlements,fees,capital,pnl,roi
0.075,1.0,2404,539,1476,322,441,198,114,59,55,85,29,77.42000000000006,1182.1300000000006,92.02592987389332,0.07784755473077688
0.075,2.0,2404,543,1480,328,445,193,112,57,55,84,28,76.53000000000006,1161.7200000000005,80.56447002391265,0.06934930105697812
0.075,3.0,2404,544,1481,332,445,164,108,53,55,80,28,72.79000000000009,1119.8600000000004,75.98537277455893,0.06785256440497821
0.075,5.0,2404,553,1513,346,454,136,102,50,52,76,26,68.47000000000004,1057.53,68.730095077912,0.06499115398892892
0.15,3.0,2404,604,1651,451,502,60,44,23,21,24,20,31.61,459.14000000000004,28.49378516567324,0.06205903464231659
0.15,2.0,2404,601,1650,447,499,60,45,24,21,25,20,32.07000000000001,469.4800000000001,25.310823224567685,0.0539124632030495
0.15,1.0,2404,600,1645,445,498,92,46,25,21,26,20,32.970000000000006,479.9500000000001,25.293816463407705,0.05270094064675008
0.125,5.0,2404,595,1631,428,493,69,58,30,28,37,21,39.87000000000002,604.0099999999996,24.340390531948188,0.04029799263579775
0.2,1.0,2404,627,1708,490,523,33,26,15,11,10,16,20.15000000000001,272.53000000000003,10.503875545383162,0.03854208911086178
0.15,5.0,2404,606,1656,453,503,45,43,23,20,23,20,31.029999999999998,448.75999999999993,17.053236410302162,0.0380007942113873
0.1,2.0,2404,562,1541,370,462,124,86,39,47,61,25,59.14000000000004,893.6899999999997,31.603527230386735,0.03536296392528365
0.1,1.0,2404,558,1539,366,458,141,87,40,47,60,27,57.10000000000002,902.9599999999997,25.244643467133642,0.02795765423400112
0.1,5.0,2404,566,1567,379,466,105,81,37,44,56,25,56.36000000000004,842.0699999999997,22.645356520295568,0.026892486990743734
0.05,1.0,2404,515,1314,234,417,360,177,94,83,138,39,112.98,1831.3599999999997,43.581290393505675,0.0237972274121449
0.1,3.0,2404,561,1535,370,461,115,85,40,45,59,26,57.910000000000046,883.2599999999996,16.525118129237203,0.01870923412045967
0.125,1.0,2404,577,1591,405,475,100,64,36,28,40,24,43.290000000000006,665.9899999999998,9.868530647499794,0.014817836074865684
0.04,2.0,2404,508,1255,202,409,303,202,104,98,159,43,125.72000000000007,2088.4699999999993,24.169727209784252,0.011572934832573252
0.125,3.0,2404,585,1611,417,483,79,60,32,28,37,23,40.5,624.5899999999997,7.219828968073788,0.011559309255789865
0.05,3.0,2404,515,1332,241,417,263,170,89,81,132,38,106.2200000000001,1758.2,18.884280439797294,0.010740689591512509
0.125,2.0,2404,584,1606,415,482,83,61,33,28,38,23,41.3,635.0299999999997,5.645047186032484,0.00888941811573073
0.05,2.0,2404,515,1316,236,417,298,175,92,83,136,39,109.84000000000007,1810.33,14.251884379769631,0.007872533946722217
0.05,5.0,2404,517,1334,246,418,217,165,86,79,128,37,102.54000000000005,1706.29,10.438822411679121,0.006117847734956614
0.04,3.0,2404,510,1281,214,411,277,192,97,95,151,41,118.93000000000013,1985.0,9.611592460971416,0.004842112071018346
0.04,1.0,2404,504,1255,195,405,351,205,107,98,162,43,126.60000000000004,2119.719999999999,4.925238889431391,0.0023235327729282137
0.04,5.0,2404,511,1284,221,412,236,185,93,92,145,40,113.74000000000007,1912.5100000000002,-3.739140839908355,-0.0019550960987960086
0.03,2.0,2404,501,1225,168,403,382,230,121,109,186,44,143.2200000000001,2377.709999999999,-25.103487818912615,-0.010557842553933248
0.03,5.0,2404,503,1229,175,405,299,224,119,105,182,42,141.08000000000004,2315.8599999999988,-30.550057257137595,-0.013191668432952601
0.03,1.0,2404,497,1229,159,399,453,235,126,109,191,44,146.08000000000007,2429.559999999998,-32.13225319877376,-0.013225544213262396
0.03,3.0,2404,502,1228,173,404,351,226,118,108,182,44,142.63000000000014,2337.0799999999986,-35.56466112519312,-0.01521756256747443
0.025,5.0,2404,499,1151,147,402,339,249,131,118,205,44,160.53000000000003,2575.179999999998,-43.469178816667814,-0.016880054526933204
0.025,2.0,2404,496,1144,135,399,436,259,135,124,212,47,160.76000000000005,2676.829999999998,-61.34926346190349,-0.02291862518796619
0.025,1.0,2404,492,1149,128,395,531,262,139,123,215,47,162.25,2707.9299999999976,-63.001188450835215,-0.023265442035368445
0.02,1.0,2404,490,1138,111,393,571,278,147,131,230,48,171.23000000000005,2872.7099999999973,-69.34666317636871,-0.0241398063766857
0.02,5.0,2404,497,1141,129,400,366,266,138,128,220,46,169.34,2750.4099999999985,-66.55962713828555,-0.024199892793541903
0.025,3.0,2404,497,1148,140,400,392,255,133,122,208,47,160.89000000000001,2636.5999999999976,-68.3450975346085,-0.02592167850057216
0.02,2.0,2404,493,1132,115,396,474,277,145,132,229,48,170.97,2862.309999999998,-74.92613846135929,-0.02617680770474174
0.02,3.0,2404,494,1136,119,397,414,274,143,131,225,49,171.97000000000006,2832.769999999998,-89.89718543262092,-0.03173472799860948
0.2,3.0,2404,632,1714,500,528,28,21,12,9,7,14,15.439999999999998,220.22,-9.89930736733533,-0.04495189976993611
0.2,5.0,2404,632,1714,500,528,21,21,12,9,7,14,15.479999999999995,220.26000000000002,-11.028631986071725,-0.05007097060778954
0.015,1.0,2404,485,1119,82,389,571,304,160,144,250,54,185.92000000000002,3142.0999999999967,-160.85081226542133,-0.051192136553712964
0.015,2.0,2404,485,1119,85,389,501,301,158,143,247,54,182.63000000000002,3110.5199999999977,-164.26636806642057,-0.052809937909552324
0.015,5.0,2404,487,1124,93,391,404,294,154,140,241,53,179.78000000000003,3039.1699999999983,-191.48238343942575,-0.06300482810748521
0.01,1.0,2404,486,1080,60,390,656,327,168,159,267,60,202.20999999999998,3381.849999999996,-223.848807547653,-0.06619122892725972
0.015,3.0,2404,485,1121,87,389,446,299,156,143,244,55,181.68,3090.739999999997,-206.5064983691301,-0.06681458109356668
0.01,2.0,2404,486,1080,62,390,562,325,167,158,265,60,199.65999999999997,3360.649999999998,-225.28788665556658,-0.06703699779970146
0.01,5.0,2404,487,1098,73,391,453,314,161,153,256,58,194.73999999999992,3247.8099999999995,-239.01957747576057,-0.07359407646252725
0.01,3.0,2404,486,1080,65,390,510,322,165,157,261,61,198.46999999999994,3330.659999999998,-267.1825507140584,-0.08021910093316596
0.2,2.0,2404,628,1709,493,524,31,24,13,11,8,16,16.98,251.49999999999997,-25.88168001017239,-0.10290926445396577
